小标题真是会曲解啊，她这话意思叫范靠绯闻上位？
刘亦菲坐的位置离邓超更近，哈哈
鲁豫啥都不用做笑就完事了
啊。。这不就是个正常的表达吗
这里杨幂的表达也是认可
那个年代这种事真说不定
我感觉他俩甚至都不算是在一起了，王菲就是单纯无聊想找他玩玩
喜欢，每次看她对男的上下其手就觉得解气，凭什么只有女生会被揩油
这里很明显是范一直在给章挖坑
也算是很坦荡
其实现在的明星不见得没这些事，只是不敢承认罢了
她家现在的家务事我们也知道
鲁豫乐的
这个素人小姐姐也好美
范冰冰本人才不大牌，她出了名的会做人
承认当小三能等同于没做亏心事嘛？原配实惨
何润东：要不我走？
笑死我了，神仙姐姐什么时候这样这么气过hhhh
这种话题 大家懂的都懂哈哈哈哈，以前那么敢说以为自己真性情，实则内心什么样自己很清楚
说得反而非常诚恳 包括睡果儿的回答
现在：不要操控我的人生
我一直以为五月天是流行乐队
樊振东：我不玩这个！
笑死我了 好神经啊
鲁信：我不豫
一语成谶
我靠为啥我的内心有点认同
确实张扬，不然也不会变成出头鸟
难怪90年代港剧里小三会说不介意男的有家庭了
不敢想姐姐真人当年有多美
与s家同行
哈哈哈哈哈哈笑死我了大s真的是杉菜本菜没错了
这句感觉真没什么毛病，一条片子来回剪来回修改真的会感觉要看吐了
从刘亦菲稀烂的台词可以看出来，江一燕说的是真的。
因为都是真的咯，所以没法反驳只能忍哈哈
五月天最大的特点就是好听啊，你可以说他口水歌，但他就是好听啊
小升本围棋少女
我觉得杨幂只是一个很清醒很对的人
王菲当年确实是京圈有名的果儿，没啥不能说的，也不影响她现在是天后
虽然我讨厌杨幂，但她这段没问题，男权社会本身对女性就不公，凭什么指摘女性上位的方式。
这里断章取义，后面说了没整开玩笑的
挺好的 起码她还敢说出来
小鸭子于适哈哈哈哈哈
我觉得这样挺好的，大家都是敢说实话不被会批判
《说的挺对的》
爱男女什么时候以要求女明星的标准要求男的就出奇迹了
估计是真的 看龙姨这脸色
鲁豫有约这只能算是节目效果，哪有这么容易测谎啊
说的全是实话
围棋少女
天皇可还行？
虽然不认可这个观点 但至少她在真实地表达自己的想法 现在就看不到这种真实的讨论了 只剩下冠冕堂皇
看来王菲就爱这种看起来放荡不羁直心肠男人
有种精神上想搞独立 思想上靠哪人的感觉
于是，我们分手了
应该是真的
天仙真的好美
围棋少女
这才是正常的舆论环境啊 都是成年人有什么不能聊的
香椎由宇可是左右脸对称，有兴趣可以去搜下，柯南真人版宫野志保
争议很大，但确实是部分真相
这不是实话吗
不意外啊，王菲本来就是有名的骨肉皮。
李昌钰真的超级厉害
因为那是东哥的名梗，好玩罢了
我在针灸科看得多了（傲娇头
哦莫，等一下，我老公呢？等-一-下-
小升本，刘茜美子
五月天不是流行乐团吗？，，
徐不知道，看八卦刘有可能
小升本
只有现在内娱明星捧的高高在上
可是便秘有时候也会造成干裂
本来艺人就应该只关注作品本身啊，我也搞不懂为什么现在都是喜欢本人去了
李昌钰还是很厉害的，但辛普森案…
陈金飞的干女儿谁不好奇
这种就是纯受英国殖民影响的英式访谈节目
这有什么的，也就是男的太随便了，不然别人一勾就上去了，自己守不住裤腰带还能怪别人吗？
鲁豫采访很牛的 玩梗玩久了还有人当真了？
王菲喜欢的就是油菜花的啊
小升本是这样的
听着像真的
范冰冰是大牌明星，但私底下不耍大牌，情商很高不欺软怕硬，口碑人缘好
五月天不应该是乐队？
我也听不懂你在唱什么
哈哈哈哈哈忽然更喜欢二手了
这个很小的时候还看过，对名字有点印象
这个很明显就是一个玩笑环节
和她偷轻的男人又完美隐身了….
于是，你说呢
这表情是有
难得别太好笑了。。。
支持性化男的
时间管理大师：鸭子
她只是犯了一个所有男人都会犯的错
于适、黄晓明、黄景瑜
菲佣：刘亦菲太有气质了
我觉得真的 这没有吹牛的必要
五月天的歌还是可以的
赵丽颖……拉倒吧
有啥，利用男人罢了
“rapper保护未成年”
于植     阿哈哈哈哈
小升本学历造假刘亦菲
她不是说的舆论压力吗
小升本
如果是姜文我愿意
我做三就这样
围棋少女
不要对男人有滤镜，不要轻易相信“现实精明”的大道理
小升本
围棋少女
梁龙以为王菲看上他了，王菲只是当朋友而已
不是 男的不是最坏的吗？
此处点名“于鸭”
围棋少女
杨幂12年卖2w
这不就是开玩笑吗
这段我信哈哈哈
真的像三梦奇缘
围棋少女
消费男的怎么了
道德败坏就不要夸作坦诚了谢谢
以前节目上可以抽烟
于适
范九亿
不是，龙姨年轻时候真的还可以
王菲之前被叫小太妹的 后来才成天后
男的愿意 咋了
西北老男人不行 李安我可以考虑下哈哈哈
于适今天正好热搜好应景
小升本hhhhh
是郭敬明干的吗
但二手玫瑰表达的我也是真的看不懂
@于适
龙姨我也信
。。。。。
现在的年轻人还是见识太少了
我觉得也不是啥迷惑行为吧，挺真实的，我感觉还怪好的
于适
大如：他们都干净和单纯
结合时事了
这才是娱乐明星嘛
她头发好美
就是这样，替换成娱乐圈之外的，我睡过李世民我会写在我脑门上
虽然杨幂作为演员非常不合格，但不得不说人家确实也值得佩服
比现在好多了
照血迹呢？
小时候看过这几集，那会很火
鲁豫在旁边坐着看着像异形似的，细胳膊细腿大脑袋
大家都挺不装的 现在就感觉没见过世面的小家子气
整容这里是她开玩笑，咋不播完
她明明节目里是开玩笑说整容，说别人都不相信她没整
哈哈哈哈哈哈哈
怎么感觉只是忍了个哈欠而已啊
这个看过
以前真的随便撕，现在真的猜都猜不到
这个感觉能说是我们平时那种开玩笑啊
不说出来大家不也都是这么想的么
顾左右而言他
杨幂金句：家花不如野花香
窦唯年轻的时候有才又帅啊
她以前不也塞一些嘉行关系户吗
哈哈哈哈哈哈，有意思
心理学大师
放现在被骂出翔来
她三观很正啊
谢霆锋那么帅一张脸 看的上这人？为了话题啥都敢编
2哥好大方
实话
郭敬亭干的
哈哈哈哈哈哈哈哈哈哈哈哈
关大美人太美了！
至今还记得说范丞丞是范冰冰和洪金宝私生子的绯闻
没毛病啊 这说的
说的是实话哦
五月天早期歌也有尖锐
男同和铜器来了
有点茶味
有道理
道德标兵别急着骂，俩人说的就是实话，换你你也一样
一个男的叫什么姨啊 神经
小升初菲菲
我勒个豆啊
我勒个虚啊
张艺谋：you know，___ __ _ __
牢幂你是真敢说啊
于鸭子说你呢
我来占领……算了我走了
？？
都好美啊
今夜不设防
何太发型
这些男的见怪不怪因为都是知轨出轨的“风流”
不是，不是，啊？
是这个原因啊哈哈哈哈
有传闻说她是内娱拉皮条的
哈哈哈哈哈这个我还在电视上看过首播
groupie 谐音果儿
五月天贡献了很多华语金曲啊
五月天很好听啊
刘明显是被拆穿了人设崩塌了所以白眼了
现在再看，江也没错啊，刘亦菲她轧戏不来学校读书
没毛病啊。。。
笑死，娇妻思维的作家
啊？
哈哈哈哈好可爱
侦探被告了。说他证据造假
这个侦探前两年塌房了。
徐克上过战场
梁欢秀啊，跟王局一起走了
围棋少女
才八年 龙姨就老了这么多了
江一燕人品差，但这也不是瞎说呀
太疯了哈哈哈哈哈
啊啊啊啊啊啊啊啊啊啊啊啊
傻子 那是接前面的词在押运 博主也只是这么说有节目你还真当回事还爱楠了别太敏感了吧
儿歌
支持
吐了
确实对方的太太还真为关之琳说话了
于小鸭嘛
看完好吧，，关之琳开玩笑的，她是纯天然
名场面
前一句是真的，后一句是好听的？
我可不认同
好神奇啊，我也有小白点，确实是老痔疮
于是
精彩纷呈
14岁考入北电，啧啧啧，之后又婉拒耶鲁大学
所以杨幂的观点是啥
菲法入学，国籍造假
这也没啥啊看对了不就看吐了
这一期厉害了
额 这不是实话吗
于是
实话实说啦
---
太美了
认同！
嗯，是李亚鹏谢霆锋不够帅吗？
好男凝的发言谁敢娶这个女人。。。
我没觉得，她只是在说实话而已
这。。。这咋播出来的呀  。。。。！
哈哈哈哈哈哈哈哈
不过当时都是这样的，出名要趁早
一个男的叫什么姨
不是吧，王菲前夫年轻的时候都蛮帅的
《神仙姐姐》
好漂亮啊范冰冰
章子怡说范冰冰漂亮，很让人惊艳
WC
我只能说五月天的歌比红白喜事强太多了 起码有很多内容
章子怡一直在旁边看剪片
章子怡爱笑
年轻的国际章
过度解读
丝滑连招
刘亦菲内向型，不爱讲话
刘亦菲内向，不爱讲话
怎么算旷课？
当时刘亦菲去拍仙剑奇侠传了
刘去拍仙剑奇侠传了
哈哈哈我和前夫一起看过这部电影
李昌钰以前可是一直在美国破案的
pei
pei
真的，我有痔疮，我嘴唇下面有小白点
小升本
果儿，年轻的女孩子，常见于老北京的土话，
唐人老板蔡艺侬就说过，当初拍仙剑请刘亦菲，是她亲自去北电走流程请的假，合法合规
啊？
还好当年没互联网
还是门姨和冰冰有味
这梗吧，硬黑
实话，到现在台词都说不清
哈哈哈哈哈
重量级了
神经…
好有节目效果
哈哈哈哈哈哈哈哈哈哈哈
小S的人設在台灣也很多長輩會罵
谷雨是十面埋伏啊
实话实说得罪小公主了
哈哈哈哈哈哈哈
测谎纸说不定就是个啥汗液之类的试纸，重要的是观察微表情而不是测谎纸
其实以前明星也是这种感情史丰富才能那么千面吧
冰冰！！
这个我在现场哈哈哈哈哈哈
预言家啊
摸下巴，可疑
人家这个很明显就是看的太多，看烦了的意思。
谢霆锋不是天王你是天王？
呜呜呜人家都住大别野
江一燕还带资进组呢，那时候还压戏谁知道啊
这个我看过一点，哈哈真的很大胆
这个笑死我了
这不是实话嘛
哈哈哈哈哈哈哈
好刺激哈哈哈哈
可是小s婚后私下里也没有什么花边新闻 只有一些谣传
宣扬的什么价值观……弹幕竟然还有人说是女王发言……
@@于适
门姨和锁姐
真的很烦这两姐妹
实话吧
这个纸到底是什么原理啊，好神奇啊
噫
哈哈哈哈哈哈哈哈哈这段得被骂死吧
我记得当时看了几期就没了好可惜
保护
《我不紧张》（滴水）
这节目确实厉害
跟光头有关
吹吧吹
就是约了一次互相了解了 王菲觉得不合适  就拜拜了
这个节目很敢说
确实五月天是聒噪男团
我靠好像大頭娃娃
佟大伟
于适
支持
嗯？正常人都不会觉得 这个看吐了 是看见就想吐
牛逼
安意如说得理论上没毛病
这个节目被封真的可惜
这不是他自己口中的装吗
她本人就是这样
其实我觉得这没啥……个人职业规划选择而已
刘嘉玲是惊讶，徐克可能真的有
对啊，是章子怡先拱火，怎么到这个up就颠倒了？
当自己卡戴珊家族了
王菲没有回应过任何事
她这段说得很好啊，有自己的思考
窦唯年轻的时候很帅
梁欢秀很好看，可惜梁欢现在退圈了
这个up是不是讨厌范冰冰故意这样解读？范冰冰这样说是因为章子怡先搞事情
范冰冰是靠艳压火的
章子怡头骨长得好完美
那这样看来杨幂确实也老了也普了
不穿不舒服啊，裤子会磨
小升本急了
哈哈哈哈哈哈哈哈哈哈哈
范冰冰美绝了
还好吧
朱梓骁是0
我看过
百分百真的 梁龙没必要在节目里撒这个慌
他好帅
牛逼！
哈哈哈哈哈刘亦菲好可爱
刘亦菲怎么做到一点都没老的，我的天
这个表情
中国版卡戴珊综艺
路温同款
主持人说的没错啊
江老实人
这么美还整？感觉完全是纯天然啊！！
觉得江好看
安意如也是黑料一堆，哈哈哈这俩人
哇塞
性别一换会怎样
？
好牛逼啊她
这段说的还真不错
他们班聚刘亦菲都有去，私下还和几个同学一起出去旅行，游玩，明明是江自己没人带她玩，还把刘亦菲说得很少不在学校，挺搞笑的
承认啥，就是因为有人说她整容，才无语的
不想看到听到她们两个！谢谢！
梁龙接的是地气 不管天上谁跟谁
开玩笑的其实是。。
真会说啊
好精彩
hhhhh
中医太神了
杨幂演了老鸨李少红的红楼梦，你说呢
天哪
实话也没什么问题
女人好可怕
围棋少女破防了
以前的节目绝了
那白眼翻的好0
范冰冰好美好美
娇妻
弹幕保守派已经忍不住要批判了
“没在现场领回去过”
主要是现在变保守了
哈哈哈哈哈哈哈哈
这就去看原版
哈哈哈哈哈哈哈哈哈哈
王朔
哈哈哈哈哈
恃靓行凶
还是以前的综艺和明星更像韩活人
这里刘亦菲手肘往里缩了
我的天哪
就算是这个意思人家章子怡想夸夸自己片子她出来泼冷水。。。
鲁豫笑得好傻
……那不就是只是说过几句话的关系吗？怎么传出的“有段情”，太离谱了吧
很好啊
茶道
这么回答那就是有过了
男的有做鸭经历的比率远高于女生
这么恨刘亦菲？
前面的“小个子大花”是大如吧
笑死了
那时候有这么牛的整容机构早就发大财了
郭敬明到底是1还是0啊
范建夫妇，名不虚传
五月天觉得还是流行歌手吧
她不光认可，她还能主导，不断为潜规则创新
这些都是公认的了 以前粉丝也没那么疯狂
？那你二手又算个什么东西
这段就假了
他们自己是主持人又是明星开创了一种新的娱乐节目
就他？
我欣赏不来二手玫瑰
不像编的
哈哈哈哈哈没毛病
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
痔疮咋了，我也有
天皇哈哈哈哈
0000000000
哦，混完江湖了我的外卖送晚了你试试↑
节目上也可以吸烟吗
靠睡觉解决的事，不管男女都是走捷径，然而世间最不好走的路就是捷径
《神州大地》
这些话你去采访你家楼下保安他也这么回答你
力不从心哈哈哈，祝龙早日回春
哦力不从心啊hhhhh
牛！！！！
大黑牛：我敢
不是……这要是真的徐克也太傻了……
谁上班开心
测谎只能看出汗液程度，这明显是开玩笑的东西，不要过度解读了，没劲
李昌钰现在……
徐克人……
表情慌了
没有造假证据，那个是因为当时技术原因才检测错的
是主持人提出来的啊
我勒个豆啊
我……我   啊？
啊？
哇哇哇
啊？
好茶啊
江也没说错啊
小升本
支持
于是
卧槽真敢说啊
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈鲁豫：因为我不想上班
最支持的一集
哈哈哈哈哈哈哈哈
我看过这个 哈哈哈哈哈说不定是真的
假唱一生黑
天啊范冰冰有点太美了
笑死
哈哈哈哈，够胆
妈呀
其实这个问题如果真的摆在所有人面前，大部分都是会去做的
说的还有点道理啊
?
?
于是
我是女的 我也觉得女性的勾心斗角好可怕
对对对
啊？她整容
冰是颜值真能打
哈哈哈哈哈
这里背景音有点点大
江一燕说的是事实嘛
哈哈哈哈哈哈哈哈哈
范冰冰不得不说还是美
感觉真的有点过度解读了….
她现在四十多了都一点没变
我想起那天说武则天睡过李世民当过半地球话事人哪里丢人啊
内地综艺说错话都要被审判 无语
暧昧
玉观音是不是 还有赵薇呢
啊？
这个叫不知廉耻谢谢
所以看小宋佳和张黎
哈哈哈哈哈哈
真神
捐姐整天炸捐
冰冰太好看了
感觉这部访谈有点太过度解读了…
云南拍戏。。玉观音？
其实这才是真娱圈人，啥都不在乎玩得开。不像现在都造人设
《坦荡》？银荡！
现在的网红照抄
说的好像现在不这样似的，三观一般是为了老百姓准备的
主要她是单身呀，那些人不忠的
啊？
什么敢不敢，现在承认有人说你坦荡吗？环境早不一样了
可是五月天的歌词也有很多很有深度的呀
笑死人
哈哈哈哈哈
支持哈哈哈哈
我趣
迟疑了
妈呀 祝你遇到这样的事哦
梅根
nb
他也配
阿哲
印象深刻
她说的很真实，直到现在都是一样的，明星的情色交易永远比我们想的多得多
谢天笑：是我（x）
我堂弟也不穿
范冰冰当年确实是靠着绯闻起来的
范跟章比差远了，根本不是一个档次的
好开放啊
这个up确实喜欢断章取义
确实不好听
这个是真的好看
她举例的人一点都没问题你以为和你月薪500一样
支持了
最支持的一集，粉丝别破防
支持
经典永流传
哈哈哈哈哈哈很难不支持哈哈哈
圆子居然没讲哈圈乙游大战
?
也算是很放荡
章子怡确实爱耍大牌。。。
关实在是太美了
不支持
王菲也不是什么好人吧
假唱天团五月天
这三观。。。哈哈哈 娱乐至死
啊对对对江one燕说的是真的，刘亦菲不爱讲话没朋友，结果几年后的同学聚会只见刘亦菲不见江one燕
有些人又开始自我感觉是实话实说，不知道的还以为你是刘亦菲同学呢？
这就是真实的人类
哈哈哈哈哈哈哈哈哈哈
冰冰好美啊要死了
太美了
神仙姐姐也会长痘痘哈哈
感觉不是谈 是yp...
教父
太吓人了
哈哈哈哈哈哈
啊哈哈哈哈
杨幂早期抽象的不行哈哈哈哈
三梦姐姐
重量级
三观炸裂。。
哈哈哈哈
呵呵
妈呀真的太美了范冰冰
我信龙姨
哈哈哈哈哈哈哈
我也看了下不准啊
泪沟男
这个好好看
神金
持靓行凶
好家伙
有钱人是这样，平庸又狡诈，只是比我们更会伪装而已
都成年人了
笑死
一脸邪气
于是
粉丝比人家还知道呢
“我老公呢”
看吐了就是个形容词吧，就看很多遍看到吐了，还好吧这个
现在内鱼基本没人敢在章面前这样吧，还得是范冰冰
???
哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈
还是“五方”呢
实话
我爱二手！！！！！！
up不客观啊，章子怡的粉丝？
很难不支持
我也要看啦
笑死了
徐克背着命，面向能看出来
这时候还没削下巴，嘴还没憋
好好好
打拳了 我怕
名场面太多了
应该是开玩笑的，她没整过
好帅
永远喜欢大小s
今夕是何年？
这不是实话的问题啊…明知道会如对方难堪故意还要说才是问题
哈哈哈哈哈哈
猪刚鬣！
真诚实
确实
龙姨我可以
卧槽看不出是割的呀
打电话的应该是陈劲，做梦的bass，二手的制作人
我觉得又不是已经谈婚论嫁，其实没关系
谢霆锋?
巩俐也是这么想的
于是
只求曾经拥有
剪辑真的会看吐
王楚然也配跟刘亦菲比？像金星吧
神仙姐姐人美心善，这都不生气
这种事情本质是男的占领资源高层
哈哈哈哈哈
江一燕肯定嫉妒刘亦菲，嫉妒她美，女人直觉
点了
啊？
？
“家花没有野花香”
嫩牛五方
很少来学校，事实这不能说？
然而江一燕说的是实话哈哈
不祥预感
触发连招
玛雅，敢说就行哈
你们搜搜锵锵三人行就知道这节目当年多火，以及都有什么重量级名人上去过
姜文李安我可
她是把她按回去了么，笑死
哈哈哈哈哈哈哈哈哈
那咋了 说明人家是活人
果肉皮 王菲周迅
哈哈哈哈
名场面
她是以外籍的身份进的
范冰冰骨相也美
啊？？
啊？？
厉害厉害
哈哈哈
只能说你见识少
说说的是实话的人，希望你同事也这么说你
想到了薛凯琪颁奖典礼麻将
有没有可能 他太普信 太自作多情
王菲年轻时喜欢才子 窦唯帅吗？
章子怡有三重门呀
挺好的啊这
不要和范比美貌，人家的美不在乎皮像骨像就是纯美
金菲公寓了解下
关键基因可惜了
又不是小三违反的约定，出轨方应该承担全部责任
当时没看懂
你唱的我才真不知道在唱什么
这不就是说他看剪辑看太多了吗？
牛逼
这不是实话啊，班级照片都有刘亦菲，怎么就不去学校了
他们那个时候所谓的整容，其实就是现在的微调
打球如果是穿短裤的话，不穿很正常啊，你穿牛仔裤还不穿，你什么琦葩？
刘亦菲好美啊！！！
于是！分手了吗
好美啊
张国荣那一期特别好看，推荐去看一下哈哈哈哈哈哈哈
看过这期我记得这个中医还说得下节目和他单聊，有一些不方便在节目里说
还好吧，就是说看太多遍了吧
我之前一个剪辑的朋友和我说他们剪辑真是一帧一帧的剪会儿真的想吐
好像略有耳闻朱是小四的纯元 陈是嬛嬛 菀菀类卿文学hhh
催更于是的瓜，另外提前纠正一下和胡果聊的时间线是2024年5月曝光，不是2023年
这位更是重量级
啊对啊！真不好听！不知道唱什么！
美就是美  用看骨头那就不是第一眼美女
到最后是真的会吐
我做影视公司 每一条片子都做要看几十遍上百遍
刘亦菲小升本自爆有没有
不是实话实说吗
刘亦菲系哦升本
也就仗着人家从来不回应 跟你聊两句就是要泡你了？
这句话是说看了很多遍的意思吧。
赵四当年都有女粉约，睡粉在圈子里太稀松平常了，总有人往上贴
而且那会儿很多正妻也知道，只要别像某人把正妻气到小产就没什么问题啊，时代不同
说的实话而已，人都是慕强的
感觉这个up和那些小编一样，总是乱讲
章子怡可不是善茬，可能当时在场上没想那么多
这个是真的nb
龙姨红温了都
试管也要自己生啊
认同
江一燕其实很虚荣很茶很装
不是台湾人本身就比较开放啦，那边银行柜台都是zhaopiao信息
好美
??????
这确实是真话 倒也无法反驳
你可以说这很真实，但能说这很正确吗？
杨幂这倒说的挺好的
鲁豫像骷髅
？希望up主有一天和异性聊天被人家造谣说是在追他
人怎么能美成这样
王力宏是歌手里颜值天花板了
一堆男的围着令人不适
访谈要看完整呀！范冰冰和章子怡那一段
+
其实没毛病，睡一次能得到想要的一切，很划算
龙姨牛逼！
哈哈哈哈哈哈哈
她这个不是在夸范冰冰嘛？你真的是瞎扯
与徐家同行
哈哈哈哈 这个回答好绝
何太发型
叫女王的真是五官左右三观
这鼻子明显江一燕好看
这也太美了
怪不得顺直蝻喜欢周
因为梁欢曾经大战五迷
人家可是辛普森杀妻案的豪华团中的一员，脱罪全靠他们哦
哈哈哈哈哈哈
香港当时情况不太一样，很多“几房”
哦我竟然看过这期
哈哈哈哈哈哈哈
我怎么感觉这段我小时候还看过
灵幻新隆（不是）
好漂亮啊…我一直盯着他看
画质再差点，谁看了不说是三梦奇缘。。。。。
章子怡骨相太好了吧
wow以前真的啥都敢说
那咋了
她要是真跟表面一样的话也挺爽，她骨子里是传统贤妻良母
哈哈哈哈哈哈
还正确的 有点脑子行吗
哈哈哈哈哈
刘亦菲好漂亮
江一燕真的茶味满满
张三铁定被潜，她一直傍大款的
吴彦祖的都看过
哈哈哈哈哈哈哈哈
我靠这期我看过
他说的不一定真，因为当时他们都挺地下的，没啥钱，挣通稿费呢，
刘亦菲进北影的时候还是中国籍，人家可以不高考，可以小升本
年轻窦唯还不帅啊
王珞丹就说过她为了接大秧歌付出了很多，我就想拍个剧就付出啥了？所以想想看
说江一燕正常是真的吗？蛐蛐别人不就这样
啊啊啊啊我最爱五月天
所以美女刺多
她要真大牌早就被爆料了。。。
范冰冰确实嚣张
这就是玩心理
爱蹭
琼瑶剧弄的三观不正
也还好吧。。
于氏
炒作女王
支持！
我也认同怎么了
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
……
大胆造谣不就是看中了对方不理事儿吗
这才有意思嘛
章子怡太美了
哈哈哈哈哈哈哈哈哈
鲁豫有约最早是凤凰卫视的不算内地节目
果然摩羯喜欢裸睡
她挑衅过原配的，后来原配流产了
他怎么敢啊？
太美了，，，，
一些疯批动次打次
罗志祥是接大小s的班
我的马鸭
哈哈神金啊
王菲本人从来没回应过这个传闻是真是假，所谓的一个否认是某网友说的，并不是王菲本人回应
我老喜欢梁欢秀了
这个时期她就想要爆点
哈哈哈哈哈哈哈哈哈哈哈
不是，这个男的这么丑的吗？
?
刘亦菲不就是带资进组的鼻祖嘛
朋友们，有谁记得周迅在一档节目承认整容的，李静戴军主持的
也不帅啊 看啥呢
这是直播吗？录制到播出的话不得一周
她们估计知道很多瓜
这个真洗不了
别把明星想得太单纯
点了
卡戴珊家族
那就是菲都没承认过在一起，是段无疾而终的感情吧
我当时还看过！
果儿是什么？
这是奶茶吗
欣赏不来她们
这个肢体语言确实不满
?这里有什么问题吗很活泼的调侃啊
来了来了
周迅就是顶级果儿
著名对话：你啥过人吗
额……有点太过度解读了
啊我靠
范晓萱我女神
为什么不可以 这不都是男人一直在做的事吗
范真的好坏
omg
哈哈哈哈哈哈哈哈哈哈
江一燕四大名捕是抢的薛凯琪的
一直不爱五月天，不知道唱什么
我可太认同了，真的难听
……
持靓行凶
q
五月天的歌大多和青春挂钩，学生听比较多
头太大了
是的面相强势绝情
有什么惊人的？现在的内娱才是背后惊人，表面正常
看过这期
大头
最假就是她
哈哈哈哈哈哈哈哈
我去
怎么还要于鸭点一下你们才知道啊，你们的哥哥基本都是这样的。。。还有金融男销售男
在外面拍戏赚钱很少去学校有什么问题？
认可
没错
女王发言
名场面
不
冰冰好美
我现在笑得和刚刚一闪而过的卷发哥一样狰狞
啊？
刚烈警告
范冰冰是真的好看
直播节目
juan里都是玩的
有一说一范冰冰是真的好看
“能被潜只要你强”真是刻在骨子里的慕强啊
哈哈哈哈哈哈
点了
哈哈哈哈哈哈哈哈
结合时事
可是你也没说你们是男女朋友吧
幂幂好可爱
看过这个片段 很震惊
章子怡大荧幕也确实美啊   而且气质好
刘亦菲这里都反驳不了，哪个学校会给不去上课的学生顺利毕业啊，这不就是第二个翟天临吗
于是！分手了吗
这不是实话吗，反驳不了只能破防
范冰冰情商太……..
这几个人好像一直都不清不楚的来着……
小升本
女王
祈祷手
这个还好吧，做过剪辑的人应该都懂剪到想吐的感觉
来了
以前我会她的这段话反驳，但我现在只想说，确实是有道
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
认可了
其实要是我我也禁不住。。
她没整容，这里是验证她没整容的好吧
张哲轩
那个年代绝大部分一线女星都还维持三妻四妾的思想
感觉完全是为了宣传电影
香港1971年才开始实行现代一夫一妻制，有思想的滞后性
鲁豫应该没有，听她笑的夺开心啊哈哈哈哈哈哈
黄晓明
当场翻白眼哈哈
小升本，美国籍入学，不来学校很正常的啦
关之琳和李嘉欣才是黄玫瑰的最佳人选，本人绝美，现实中也超多追求者
不是说徐克参与过越南战争吗，s没s过人难说吧
正常啊，本来就是演艺学校，相当于提前工作了
台湾卡戴珊家族
其实现在娱乐圈也是这样，只是明星会伪装了
不是打哈欠瞌睡吗
这。。。
这问题还行吧
这集我小时候看过
都常态
原来王楚然学得这么像啊
小升本是这样的，上课也上不明白吧哈哈哈
这种可以说的吗？
@周迅
淫荡说坦荡，6
是事实，而且怎么进的也存疑，在中国只有小学学历，美国初中没毕业，当时还是中国国籍
经典永流传
哈哈哈哈哈哈当0当的
龙姨不打诳语
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
实话
名场面，穆棱官方鉴定
潜规则版的：得加钱
姚老师也挺爱听哈～
表情有点不耐烦了。。
轮到我笑了
于适
胡歌：不是旷课，是旅游
好真诚我好爱
红温么
天以前的访谈节目好有人味，每个人都好鲜明
郑钧说过他们时
这个咋了
哈哈哈哈哈哈哈
作為剪接師 我真的看吐過
赞同
哈哈哈哈哈
安意如：看你圈内地位咯
三观炸裂
还好吧
