后面老师表情亮点
和着变成椒丘了是吧？
那可太好笑了
我真的没绷住哈哈哈哈哈哈哈哈哈哈
豪啸马
贝利亚
壽  帽
哈哈哈，特意去搜了下护士帽怎么戴
好笑
厨子进手术室
6
哈哈哈哈哈
哈哈哈哈哈
还是双簧，八个鸭肉！
我艹 还有高手？
私密马赛
哈哈哈哈哈
嘎嘎嘎嘎嘎次
厨医未来
好笑哈哈哈哈哈哈
食堂的
先把老登杀了炒两盘菜
哈哈哈
马未都？
马未都？
马未都？
马未都？
马未都？
得加钱
白无常
哈哈哈哈
好笑！
院长：你，去给我炒俩菜
她还得谢谢咱呢
连人都救不了我怎么能当厨师呢
憋不住了
后厨大师傅
嘴最正的一集
好笑
哈哈哈
唇红齿白小护士
确实好笑
还别说，真的毫无违和感，好像就长这样一样QAQ
哈哈哈哈
每日安慰（1/1）
我一定要成为食神
真卑微，如果站着够不着就请护士坐在凳子上
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
唐牛才是食神！
后面：指后厨
嚎啸马
我看你就像土豆
怎么没想到削你呢
还有二周目？！
还有高手？
哈哈哈哈
让你来做员工、餐的呀哈哈哈
炊事员
精必浓
我去
哈哈哈
哈哈哈哈哈哈哈
要让在座的各位都吃好喝好
嚎孝马
白无常
厨师，新东方厨师！
已经开始笑了哈哈哈哈
喵喵
孝帽子
去，给我炒两菜去，就知道傻站着
《肝腰合炒》
好像土豆啊
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
好笑
哈哈哈哈哈
厨师？
哈哈哈哈哈哈为什么完全没有创作瓶颈
没有
啊？
二次转生
我在笑什么（我想起高兴的事）我老婆生孩子哈哈哈哈
八个鸭肉（释怀一笑）哈哈哈哈哈哈哈哈哈哈哈哈哈哈
shi冥淦
啊？
.
哈哈哈哈哈哈哈
红红火火恍恍惚惚
这是干啥
还有高手？
小姐姐很漂亮啊
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
五官最契合的一集
从这里看来其实没带反
护士：我看你像土豆
哈哈哈哈哈哈哈哈哈
民以食为天，天降大任于斯人也。
你先挖土豆去吧。
焯，蚌埠住了，这不奔波儿灞吗
白无常
好笑
hahahahahahahahahahahahhahahahahahahahahahahahhahahahahahahahahahahahhahahahahahahahahahahahhahahaha
汉尼拔的助手（）
看老师的眼神
hahahahahahahahahahahahhahahahahahahahahahahahhahahahahahahahahahahahhahahahahahahahahahahahhahahaha
哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈
薪火相传没毛病
鸭肉专业组
……我们这边守孝带这帽……
最近这个也是这么戴的
怎么和清宫剧里的丫鬟发饰一样哈哈哈哈
？？？
郝啸马
等土豆说完话就来削
火气
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈
双料特工
白无常
笑死
嬉皮笑脸
哈哈哈哈哈哈
《食疗》
都是后勤保障部队啦
哈哈哈哈哈哈哈哈哈哈哈
拔叔的传承，美味的食材
医食同源
啊？原来这不是新东方？
感觉有点怪，但说不上来
没发过
zqymlynyingxhlyy
熟练
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
好笑
蚌埠住了
太激动了，嘴唇都干出血了
披麻戴孝
汉尼拔
哈哈哈哈哈哈
带的太靠前了
厨师长和她的土豆
野战医院
土豆
确实
我已经开始笑了
哈哈哈哈哈
汉尼拔∶你好
往后戴戴就好了
老师连护士的帽子都不知道怎么戴。当老师真容易啊
医院食堂也需要人嘛
二重奏哈哈哈哈哈哈哈
加大药量
哈哈哈哈哈哈
椒丘？
后出辣！
？？？？？？还有高手？
食疗圣手 厨子医生没毛病
好笑啊~
哈哈哈哈哈哈哈
安拉胡克阿巴
喂，沉默的羔羊，想法不错
做人最重要的是什么？是火候！
转过来这一下绷不住了
打饭阿姨
哈哈哈哈哈
糙
哈哈哈哈哈哈哈
马来族
护士入门到厨艺精通
笑死
好啸
椒丘（bushi）
作为天天看见护士老师的我来说真的好笑
蚌埠住了
哈哈哈哈哈哈哈哈哈哈
医院也有人要吃饭嘛 先学医后下厨 也没毛病啦
我想把我这个人头上的声音放大最大，哈哈哈哈哈
师傅你是做什么工作的？
哈哈哈哈哈哈哈哈哈哈哈哈哈
前摇好长
怎么还有点像带僧帽啊哈哈哈
没有戴反捏
我是个厨师，随身带着手术刀也很正常吧（
先削你这个土豆嘛（）
哈哈哈哈
请老师戴套
哈哈哈
哈哈哈
2周目
这个转身太难绷了
金木从医了
等等，突然想不起来护士帽怎么戴的了
你知道我大晚上憋笑多难受吗？
厨师帽
哈哈哈哈哈
哈哈哈哈哈哈哈哈我是真没想到你小子
护士或厨子都是牛马，没区别
日餐厨师，哈哈哈哈哈
哈哈哈哈哈哈哈
在寝室憋笑真的很难
哈哈哈哈哈哈
好笑（即答）
每日八个鸭肉（2/2）
每日八个鸭肉（1/2）
这长相，伏地魔是吧
厚雏喇！！
这也不像厨师帽太短了
豪啸马！
还有高手
食疗（即答）
学医救不了中国人，但新东方可以
细说干
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈
医院食堂不知道么？
双boss战
这个脸太贴了
秒变厨子了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
好啦返场！！！
《食疗》
没事的，衣服颜色都一样的
我去
日式婚礼新娘带着白帽子比这还要大
感谢大家参加日式婚礼doge
转专业了属于是
这是护士，不是医生，医生不戴帽子
东厂行走了属于
医院也有食堂
土豆不是正搁这说话吗
十六鸭肉？
对啊 本来就是医院的后厨啊
医院后厨，没毛病
瘦猫
齁除辣
椒丘
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈講
哈哈哈哈
（曾志伟）
我可没笑啊 你看见了嘛就说
猴雏辣!(断气音)
一定要好好做人（dog）
《双学位》
已经开始笑了
谢谢老鼠 为我授猫
食疗
奔波儿霸霸波儿奔
谢谢老鼠 您的眼神好好笑
《从医护入门到大厨精通》
哈哈哈哈哈哈哈
醒啦？
严丝合缝
为什么我觉得像白无常……
哈哈哈哈哈哈哈哈哈哈太难绷了
横 翔 啊
盐酥
张天爱！
椒丘哈哈哈哈哈哈哈哈哈
帽子一带，多炒俩菜！doge
帽子一带，多炒俩菜
禁忌二重奏
药膳啊，没毛病！
每日来的时候也没人告诉我（1/1）
哈哈哈哈哈哈哈哈哈哈哈哈
嚎   啸   马
梅开二度
省流：好啦~好啦~限时返场
哈哈哈哈哈哈哈
是不是带反了
哈哈哈哈
哈哈哈哈哈哈哈
？
怎么不先削茄子（狗头）
揭示了事实
帽主一戴
我听到了［啧］的回响
明明是出家的师太
笑死人了，哈哈哈
哈哈哈哈
嘴和眼睛最适配的一集
左边好像个土豆
新东方烹饪比赛
姑娘挺漂亮的
哎呀好啦好啦
打饭阿姨
食疗（
护士：你长得很像个土豆啊 八个呀路
害！瓦达西这就去！
老师这眼神
还行
这次五官很正
哈哈哈哈哈
营养科：欢迎欢迎
药食同源
哪里不对啊
老师表情好品哈哈哈哈哈
你别说，护士姐姐长得挺漂亮的
炒八个鸭肉
食堂大妈
还有高手
像
从医师变成厨师了。
《白无常》
都是让人活着，没毛病 ，是救人的活
HHHHHHH
HHHHHHHHH
哈哈哈哈哈 没绷住
反了吧
嚎哮马！
哈哈哈哈哈哈哈哈
茄子也是拿到老师学生双戏份了
笑？笑要打报告！
好笑
第二人格
不会炒菜的学生不是好护士
哈哈哈哈哈
？？？反了吧
有亿点点意外，怎么还有他的戏
加棉以术
天才
吃饱好上路是吧
八个鸭肉
做人要看火候
最早的一次
好漂亮
好笑
我还是先削你吧，我看你比较像土豆呀！八嘎呀路！
椒丘（bushi）
哈哈哈
每日安抚（1/1）
蚌埠住了哈哈哈哈哈哈哈戴得太靠前了
《谢谢老师为我修毛》
哈哈哈哈哈
炒八个鸭肉
还有高手？！
加面仪式
后勤部
我看小姐姐也是眉清目秀
啊，反了吧
毫无创作瓶颈
嚎啸马
原来不是厨子啊
老师并没有觉得哪里不对
并没有带反，后面那个位置是留着放辫子的
从市医院进了新东方啊八个鸭肉
抢救失败就吃掉他（确信）
老师我看您像颗土豆
抢救失败就吃掉他（确信）
领导你自己看看这正常吗？
厨师
炒得很八个鸭肉
要鼹鼠啊
笑死
谢必安
还有高手
好笑哈哈哈笑洗我了
哈哈哈哈哈哈哈哈哈
医食本同源，只是近难全。
不是戴反了，是戴得太靠前了，需要戴后面一些
披麻戴孝
好笑
医食本同源，只是近求全。
疑树
这是跪着吗
《盐素》
好像土豆子（）
夺舍2个人成功
还有高手？
《医院后厨》
开的静音，但无声却有声
哈哈哈哈
药补不如食补
不好笑嘛
《还有高手》
护士姐姐好漂酿
还有高手
笑死
这不是送丧队伍带的吗
哈哈哈哈哈哈哈
我突然释怀的笑
双学位
小姐姐已经绷不住了
懂了，大长今
椒丘附体
二周目
嚎啸马
双重人格
医院食堂欢迎您
哈哈哈哈哈哈哈哈哈
心理素质真强
哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
上面红字是汉尼拔吗？
《双生武魂》
看镜头前面这个应该是没戴反，就是本来朝后的变成朝上的了
一定要成为中华小当家！
我没笑啊（憋笑）
绷不住了哈哈哈哈
张可是后面再插俩长须须很像古代官帽啊
椒丘本丘
《嚎 啸 马》
哈哈哈哈 还有二阶段
真有双学位还羡慕了
23333
还有高手？
《医食父母》
笑崩了
这个老师他还瞄了一眼旁边的学生
很翔啊
姨树
拔叔的助手 因为专业 所以信赖
《很响啊》
这下更好笑了
还有高手
护士:我是忙着削土豆，忘记削你了啊，八个鸭肉！！！
《把患者抄得很香》
哈哈哈哈
哈哈哈哈哈哈哈哈
???还有高手
好笑！！哈哈哈
很像啊
好笑
没有戴反，只是戴太前啦，都到人额头了
护士你是做什么工作的
兽医确信
护士：我看你长得像土豆，要不我先削你？
孩子们，这并不好笑
哈哈哈哈哈哈哈
还有高手
后厨
《喂我痩猫》
我都忘了应该怎么戴了
《食命感》
好笑
不是哥们上次看你才80万粉丝啊
好啦好啦
医院后厨
泰嚎哮辣
笑死我了 喘不过气了
只不过是戴的靠前了，又不是戴反了。
思密达一下就涌上来了
哈哈哈哈
好笑！非常好笑！！！
先去削个茄子吧
还有高手？
前
54分钟
省流：两个八哥雅鹿
哈哈哈哈哈哈哈哈毫无违和感
