这些几十年如一的球迷真是可怜啊，闻者伤心，见者落泪。
蚁力神杯，哈哈哈哈哈哈哈
不如上海龙（
哈哈哈哈哈哈哈哈
《强队》
平地摔卡哇伊
战犯公示
别奏了，痛苦面具
丢人现眼
两级反转!!!
中国男足解散吧，求你们了
确实是好的开始，持续了不到一场
怪草地
舒服了
哎真希望这些球迷能用真心换来真心吧。
胜败虽然是兵家常事，那也不能一直败吧
留给中国男足的理由不多了
哈哈哈哈哈哈，不要太期待
退钱吧
？
地狱笑话，中国队一球没进
哈哈大笑
老天爷哭了
在让人失望的方面从来不让人失望
拜合拉木这场灾难级发挥
国足真没意思。
大连图书馆
fvv
还敢看国足比赛 真的是头铁
？？？
门柱和草皮都不站自家球员这边
他们配不上这样的球迷
《多打一人》
哇这爱国财发的
不用担心，下一场更绝望
哈哈哈哈虽然我也在现场经历了心痛，但是看到这里还是笑出声了
一输球就赖教练，啥时候能成长，幽默
沙特已经少打一个人加开局送一球还是赢不了
不行，太搞笑了
如你所愿，下半场进一球
经典结局
换神仙来都没用，踢不赢就怪教练
日本那场一张票是五千日元
hhhhhh
我们是冠军！！！！！！！！！！！！！！！！！！！！！
这水平赢了真的没天理
幽默
优势在我
日内瓦退钱
哈哈哈哈
进的那个是沙特的乌龙球、然后沙特被罚下1人11打10还是被连扳两分
你说的倒多了
很蓝的啦
很蓝的啦
下雨是吧，神雨是吧
不管是什么教练，来了都一样
哈哈哈舒服
记住这个笑容
心疼
团结
三面环海，意思就是没有公交车呗
我还以为包厢就100块
退钱预备
沉默是今晚的康桥
领先一人，比分领先
看这种比赛花上千！
战犯名单：
很难的啦，已经结束了。
跟教练有啥关系
已经结束了！
本身没打好基础，还吃海参，没这个能力知道吗？
可怜的球迷
还有看台指挥官
0
差生文具多
？？？
不好意思沙特进三个
高端的猎手常以猎物形象示人
居然有人看，国足还是输的太少了
从未如此美妙的开局！
一场球光门票能卖5000w
大唐盛世
哈哈哈
能不能不要举国旗，这十一个人又代表不了中国
唯一的进球还是。。。乌龙球
已经结束了
完结撒花
還多打一人
对得起我们吗？_______，___！
赚米啦
可怜的球迷
哈哈哈哈
逆天
裁判：我是真的尽力了！
年年都下课，闹麻了
《进球》
起立！
开局对面乌龙 还罚下一个，我都以为稳了
至少斗志还在！！
镜头语言
真爱！！！国足对不起你们这群深爱他们的球迷！
绷不住了
都放海了没看到几个后卫  还不进球
挑衅得就是你
保佑你少输
是不是因为不给退票
绝望，窒息……分手吧！
老天爷看吐了
裁判尽力了
膝盖这么软
沙特进的
沙特：听到了
委座高见！！！
他配叫球王？？？
这局稳了！！
结局太经典了
天时地利人和
真爱！！！国足对不起你们这群深爱他们的球迷！
韦世豪，，，，，，，，，
可惜了这个bgm，这是给具有货真价实实力的人用的
好高兴啊
真爱！！！国足对不起你们这群深爱他们的球迷！！
请记住现在的表情
看了两遍也没看懂这怎么能摔倒呢？
哈哈哈哈FW？？
真心疼啊
沙特，让一球让一人，不能再让了
《好的开史》
天胡开局！输不了一点
才哪里到哪里 就难受了？
飞舞
3个球都是沙特进的
退钱！
老传统了
挑衅你又如何
大连图书馆哈哈哈
倒贴我可以考虑
真尽力了 除了国足
乌龙球不算中国队取得的吧
？》？？？？？？
啊？哈哈哈哈哈哈哈哈哈这个摔倒
国足都这样了还有人看
有几个是球迷？不都是拉来凑数的吗
对不起这些球迷啊
冲撞守门员？？？
手柄搓起来
一种植物。。。
关键是国足里面还有好几个外国人
你换个大连随便一个高中校队 也赢了啊
？？？
？
我都丢不起这人
竟然还有这么多人看国足。。。。。
？
粉丝真惨
粉丝真惨
已老是
太抽象了吧，平地摔
从未如此美妙的开局！
number seven，韦世豪！
海参
？？？？？
呜呜呜
很蓝的啦
因为中国人多
我懂了，都怪雨。明明要赢了它下雨
《明明是沙特进了三个球》
哈哈哈哈哈哈哈哈哈哈
真的是闲的
这辈子还能看见 国足胜的一天嘛？ 或许吧
海参吃多了，太虚了，跑两步还能摔倒
中国队啥时候能赢啊
王德法 退钱
心态真好，对国足是真爱啊
绝杀时刻
哈哈哈啊哈我特么笑了
不知道为啥还有这么多球迷
亚洲一哥们
说话都说不明白了
国足开始展示实力了
一碰就倒
竟然还有球迷
守护这个笑容
起手王炸
好了，借宿了
锁嘿！丢雷楼某！
胜哥旁边有美女
记住这0：0，是国足最好的比分
亚洲一哥们
《国战有为》
11人对10人，优势在我！
地球上最好的球迷
丸辣
现在多兴奋，等下就哭了
唉，心疼
国足配不上这么好的球迷们
送我都不去，人多热
夺少？
非看不行吗？不看能死？
哈哈哈哈哈哈哈哈哈哈哈哈
解散
挨打要立正
哈哈哈
泪目惹
算的真准
差生文具多
不知彼不知己，每战必败
这上座可以了
配不上中国红
上次你说被日本小球迷挑衅，是不是瞎编的？
buff都叠满了还是打不赢
沙特：就这个球也是我们进的
瞎激动什么？我不了解沙特 我还不了解国足吗？、
难道不是吃了吗？
球迷帮队员复盘，笑死了，他们没准去吃海鲜了
"在小学联赛是球王, 和大学生踢什么都不是了"
这么多人爱足球难怪国足每一把都在拉满热度，继续加油国足！
已经结束啦
日漫平地摔
?
日内瓦 退钱 日内瓦公约有效 日内瓦 退钱
又哭了
触发保底
舒服
已经结束辣！
退钱
这关主教练啥事儿，唉
这不喊退钱的那大哥么
海参逐个出场
还挺多空位
为了我能多活几年，我不看中国男足比赛。另外，我也没这闲钱！
日内瓦 退钱
沙特：老铁，打钱了，你看着办
来了，正片开始
退钱
多少？
罪魁祸首
？？？？？？？？
第三场剧本你还是想不到
哈哈哈闹麻了
这下听懂了
真不知道有什么好我看的。。
理由来了：地太滑
担心吃不到史
没办法啊，你们超爱
大连市图书馆
这个就是教练郭？
真奇怪又不是自己踢，还要复盘？
fw
钱还是太好赚了，踢成这样还有那么多人看
哈哈哈哈哈哈哈哈
中国队输在老天爷的雨只下在中国队这边的半个球场
换了一百个老师了 你说差生因为老师教不好
11个打10个都输了，我觉得中国队起码可以下岗一个人，把他拿的钱给我，我去买足球彩票给经济做点贡献更有意义
正片开始
出现了 平地摔
丸辣
这？？？？////////
快进到退钱
天湖开局还能输，无敌了
差点启动
是沙特自己乌龙进的好像。
球员和球迷：一个愿打一个愿挨
你就说班没保住逆转吧
好草坪，自己主场坑自己
从未如此美妙的开局
旁边妹子不错啊
闹麻了只能说，对不起现场球迷
会谢谢中国队
镜头语言
天降神雨
伊万啊
沙特：我们尽力了！！
megalobox！！！
不是，喊这种口号他们自己不害臊吗？
万一球踢到海里去了怎么办
3个球都是沙特进的
国足扶不上墙
还去现场看国足，是真一点脸不要啊，笑死
人家法国人气个啥啊？
这国足的视频点不喜欢都点到手麻了，怎么还有
现在喜欢国足的人不是对足球的热爱而是为了流量
沙特：没人看出来吧？
嘴上唱起来，实际是跪着
怎么还有黑人？这样的进球我感觉不到丝毫自豪
挑衅怎么了
除了钱啥都没有了
已经结束啦
这些人为啥那么爱男足啊，费解
你们都在兴奋些啥？
这球确实运气差一点啊
还是球迷太多了
这球场叫啥来着？梭边鱼球场？
有什么好心疼的，这都是他们应得的
挑衅也活该，落后就要挨打
一看就是故意摔的，买了自己输
很蓝的啦
逆转了。但是是沙特
记住这个表情。记住这个乌龙球
冤枉钱花的不亏
下课啦，大家可以离开座位放松一下
已经结束咧
可惜了这么漂亮的球场了
这雨可是从预报的上午拖到了晚上才下，天时地利到极限也救不了国足
假大空从来都是搞得最好的
又下课？你们还是太有钱了
看直播武球王平地摔给我笑麻了哈哈哈哈
还不日内瓦退钱？
背后三个叔叔也超开心
大春
悲哀
11对10，优势在我
该
人都满了，票还贵
怪不得中国足球起不来，你们这些球迷才是最大的责任
差生文具多
排场拉满
国足传球真看不懂
这
还有人物介绍？
bgm无甲的乔
海参不好吃。我要吃辽参
退钱。退票钱
你高兴得太早了
跑都跑不稳，还怎么踢球？真的是有专业练过吗？
日内瓦！
哪边是中国队啊？
哈哈哈哈 可怜的一群人儿 在场有一个算一个
退钱
这些国足水平跟平民百姓都踢不过吧
11人对10人，对方还送了一球
逆天
无奈啊无语啊
海参要泡发啦
到底是谁在掏钱去受气啊…
龙王爷也是50万是吧
中国足球是球迷们最好的琼瑶剧
他们不配 解散吧
?
弱者被挑衅太正常了
不是下课，是下班啦，吃海参去啦
还复盘阿？这不是标准结局吗
我是来看看到底有多少冤种
哈哈哈哈哈哈哈哈哈
B胜
绝望到绝对绝望
没事，你们抗造的很
本来不用退钱，现在又要退钱了
退钱
佩服这帮球迷，踢的多烂他们都会去捧场
国足还有人看的？
一会就要喊退钱了
oeif
我就说装不下装不下呢
优势在我
老蒋：我不明白
沙特：好，再进一球
日内瓦退钱
舒服了
已经结束啦
门柱 我的错 全是我的错
丢人
哈哈哈现场一下子安静了哈哈哈哈哈哈哈
会赢的
开局一张红牌不是红利是索命链
为什么很多人都觉得沙特是个弱队一样，他只是大比分输过德国
一次次失望
有这么多人去看海参，不可思议
人情世故
哈哈哈哈哈哈
侮辱
Megalobox的曲子
这就是真真正正的实力不行，没啥好说的，各种有利条件占尽都赢不了
拜合拉木我吃柠檬
嘿哥们，你也来看喜剧片了啊
hhhhhhhh
11踢10个都赢不了，不敢想象这下限还能拉多低
蓝
我突然想到今天怎么没带女儿挫折教育一下
有意义吗？
不要浪费感情了，，
咋摔的？
OiOiOi
接下来我将一球不丢并且进两球
日内瓦 退钱！
国足输球，球迷反思
大连出海参
呦西在我
踢得再臭都有这么多人去看，谁还努力啊反正都有钱赚
日内瓦 退钱！
1100？！
那一球越位了
还有人看，感谢冤大头们的海参赞助
都要哭出来了
除了骂教练国足球迷还会什么
一冰凌
这么大的主场还输了
高兴的太早了
退钱！
啊？这?只能说：唐
？
何胜的意思 就是怎么胜利？？？？
这都还留时间？
大连人表示不是大连的问题
他们是多么的热爱中国足球啊
你的名字的小曲xswl
绷
留给中国队的时间是永久，除非没有这个比赛，这项运动
又多了个看乐呵的
抽象
烂泥就是扶不上墙
开始反思…
游戏结束
阵仗有多璀璨结局就有多凄凉
二进制球队
FW
从未有过如此美妙的开局，请为我欢呼！为我喝彩！
足球赚钱啊
运气
踢得再烂你们都还支持，难怪国足提高不了水平，高价票还有这么多人买票看球给自己添堵，服了
逆转了，但是是沙特队
优势在我
漂亮
很好，球员可以回家分钱了
这都能被逆转也是神了
差生球馆多
退钱！！！！退钱！！！！退钱！！！！
人家放水，控分了，你也照样打不赢
除了球队都很用心
又来退钱了，家人们
挑衅，一般是具有优势一方做的的
这进球就像停球技术太差被顶飞了一样，用双手都接不好一个球，真没救了
十几亿的人，真选不到更好的？
舒服了
国足我是唯一一个希望好不起来的项目，他不配
哈哈哈哈
少输当赢
心疼球迷
戛然而止
红牌发下的球员不能用替补球员上么
结束
中国队不配那么多球迷的支持
吃饱了撑的
安静
对得起球迷吗
打海参队，9人足矣
还 是个乌龙球
还有这么多人支持，海参吃的还是不够多啊
不许奏
幸好没去
仁济武磊
经典怪教练
哈哈哈哈哈哈哈哈
如此美妙的开局
人情世故
只是教练的问题？
查一查海参质量
舒服了
哈哈哈哈哈哈
我c这球都能接丢真厉害
国际足联已经尽力了，哈哈哈哈
JJ
天胡：指一比零
噗，在国足场上喊必胜不是给自己添堵吗
偃旗息鼓了说是
@@@@
还有这么多冤种去看球，国足敢摆烂不是没道理的
最后一秒
不是，庄稼这么搞赢的不多啊。
沉默
真有钱，老看球
舒服了
哈哈哈哈哈哈哈
结束咧！
哈哈哈哈哈哈哈哈哈哈‘
？
哈哈哈哈哈哈哈
已经结束咧！
很蓝的啦！
自己不争气，神仙来了都没用
我们是冠军！！！
很漂亮
下课行啊，谁上课呢，里皮都带不动，大罗金仙是不行了，找个道祖来？
搞这么大横幅感觉自己很牛逼，哈哈
哈哈哈哈
哈哈哈
从未↑↑（大声）～～～
舒服了
开始哽咽了
解散！解散！
tuiqian
《三叶的主题曲》
这叫半场开香槟
这是带球？
真是一场酣畅淋漓的cs
次次花钱找罪受，图啥呢
胜哥这几句有当年日内瓦退钱的味儿了
这个倒地看着不像滑倒而是重心太靠前海参吃多了
让球迷淋淋雨冷静冷静正确对待国足的实力
图书馆怎么说
沙特说我尽力放水了
嗯，进了，沙特进的
哎，他们配得上这么大阵仗和这么优秀的球迷吗
退钱
主办方赚到飞起
这时候就该稳扎稳打，把中路控好
看到这一片中国红 泪目了 但是~错付了呀 场上的他们配吗？
氛围环境再好能赢球嘛，有个屁用
为了中国足球专门建造的球场，结果踢了个亚洲垫底
真豪华
优势在我
哈哈  笑死我了。自己倒了
我们知道你想说什么
好尴尬呀
高兴什么，三个球都不是中国进的，沙特放水的一个
很蓝的了
是托
这就摔倒了，体能太强了
海参效应
留给中国队的时间不多了
不配呀
大连还是很有足球土壤的
别激动，这是之前输的7个触发大保底了
这也能平地摔
以后都没有这么多球迷啦！
妈耶，国足配得上这首曲子吗
10＞11，这个等式成立
香槟继续开
可怜
up走的是难过赛道是吧
越位了，所以进球无效
就是因为球迷太好了，市场太好了，输赢都能挣钱，谁还不躺呢
心疼沙特队~为了给兔子投桃报李，自戕1人，后边真的是“臣妾做不到啊”！
不忍心看了卧槽
“你知道我要说什么”
但中国队也成为了备战下一届世界杯最早的球队
天都笑哭了
角球那个不像中国人呢
海参真好吃
啊？？？？？？
海参出场
goal，进球拉
已经结束嘞
对得起我们吗
FW
自己不行怪教练
哈哈哈哈哈哈
为什么还要看呢？
马腿底
已经结束咧
我就是来看个笑话
结果亚洲杯异地举行了
然后草坪不行
结束了
好哦
到底怎样才能嬴，这都不行
哈哈哈
。？
这是真爱啊
退钱
记住这个笑容
输球原因
很蓝的啦
11块我都嫌贵
日内瓦！退钱！
国足不思进取，就是被球迷惯坏的，你上座率不到三成，动到他们的利益，自然就好好踢了
长期治疗低血压，选国足比赛
高情商：“非常理想”
呵呵
你好坚持！是我就不在关注了
嘉然和马文杰感到遗憾
已经结束啦
你说要进，结果还是沙特进的
《起立》
算了吧
1100，呵，有那钱干什么不好
开场对手送了一人一球还输了也是可以载入史册
来大连了啊
铭记此刻，以待后效
光速变脸
让人感到无可奈何
名帅都试图钱的吗他们也想拯救中欧足球可惜水太深玩不转
怎么平地摔倒
6
演的真好
放弃国足吧，不见得他们会反省
有跌宕起伏，但结局依旧是熟悉的嘛
气势上不能输
勇气哥
草坪确实有问题来着，对面也脚滑
看乐了
给背景音乐点个赞
这场地很滑的
我们是冠军
我们是冠军
正片即将开始...
然后，昨晚地震了
我们是冠军
哈哈哈哈哈哈哈哈
哈哈哈哈 平地摔
已经结束咧
进的一粒还是沙特放水进的
这样的国足值得这么多人给他加油吗？
不急。。。赢是不可能赢的，这辈子都不可能赢的。只能散散步。装装样子。靠演技才能活得下去了。
耶稣也留不住他，我说的
呵呵哒。。开始吧，花式演员上场
哈哈哈哈哈哈
人情世故
推敲
竟然还有希望，也是，只剩希望与海参了
笑呀？狂呀？哈哈哈哈
我就说要输了
哈哈哈哈哈哈哈哈哈哈哈哈好哈哈哈爽！！！！！！
我前妻那么肥
哈哈哈舒爽又治愈的结局！
就是挑衅呀。咋滴？？？哈哈哈哈哈哈哈
别多想了，菜鸡吃再多海参，也没用
真球迷这时候根本不敢笑
开始还不错 你没把握住
已经结束嘞！（关公音）
真球迷真的不会在那时候庆祝
没事没事，等比赛输了，可以让教练背锅
武球王牛逼
没戏
不好意思，海参吃多了，没消化……
飞龙骑脸怎么输
幽默
有点逆天 外国人只会觉得莫民奇妙
球迷看国足，网友看国足球迷，一个付出金钱，一个收获欢乐
朱雀门那一年也下了雨
啊
7号韦世豪（bushi
找点正常的、真喜欢足球的人来吧，老让这些逗比上去搞笑，有意思？
先辈和英雄们为中国争来的脸面和气魄都被男足丢干净了，真的
太蓝了！
什么时候我爱的人能像国足球迷这么专一？
就是产地不太行
历史一次次重演！就算3:0领先，也可能被逆转！
“助纣为虐” 说的好！
中国队总能给人意想不到的惊喜
这底盘这么不稳，还踢球
啊？大平地跑着跑着就摔了？？这是年过古稀了？
烈士墙
国足配不上这么好的粉丝
好！你已经看完所有高光了。可以退出了
保佑了沙特逆转
黑人角球？
我们公司老板硬要我们全去看！无语要死
何苦呢
FWFWFW
越看这些球迷越想笑，和饭圈一样
中国队是最早备战2088年世界杯的队伍
怎么还有人看的。。
