小潮:我选择手下最聪明的人
小砍是不是真的没看到小杨醒来啊，笑死我了
《狗 急 上 墙（Doge》
什么 这居然能赢
我潮这什么私人特效啊老大
是不是视角问题所以没看见小杨醒？
此时的我belike
平民互啃，大盗共犯一起吃瓜
《整蛊小潮院长》
除非俩人中间有共犯 差点说出来
不愧是欧皇，刚才的局面必死，现在有了一些生机
小猫点点
呆滞的水滴鱼
《老同学组》
《砍的叛变》
《掩耳盗铃》
小潮院长：不是？哥们？丸辣！
哈哈哈哈哈哈哈哈哈哈小潮后悔嘛选了海皇哈哈哈哈哈哈哈哈哈哈
《水滴鱼的记忆》
《贾广大的青春期》
《一次性消耗品》
海皇手语翻译：我们胖胖的三个
《我们都穿黑色不告诉贾庆》
该不会是同一天拍的素材吧
海皇加入活死人（）
高傲同步好萌啊
高斯真的太强了！
hhhhh  小潮刚跟小杨牵完手。高斯就选他
贾庆没看见队友，海皇没反应过来，樟脑丸忘记了
我到现在都没看懂，所以，到底是为什么啊？
什么逼动静
记住此时的《达成共识》
高子这胳膊是真的白啊
贾庆这里确实没看到小杨正脸所以不能判断小杨睁眼
教父眼睛太小了没看到hhhhhhh
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
其实这种没有故意立人设，真正玩才有意思
都没有逻辑，都是别人说什么信什么？有点演的感觉，但真的是演的，那也太离谱了
海皇纯纯游戏黑洞啊，自爆卡车一辆
但是有可能高斯大盗，也是三点醒（在别人的角度看）
再预言一波马哥会选高斯当共犯，如果错了，我后面给你们道歉
神经音效加神经特效
潮斯组合
啊？
沼王沼王沼王沼王沼王沼王！！！！！！
谁是回放 看到这儿的 请给我点个赞
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
都差点聊爆了还在玩得好？
好烫
小潮和沼王贴贴！！！！
专门回来看的，我也把小杨忽略了，hhh
不是，说不定贾庆真没看见小杨醒来了，我们是上帝视角可以看清楚，但是我们不是贾庆嘛，大家还是理智讨论不要随便攻击别人
这他妈哈哈哈哈哈哈三个一点两个五点，小潮孤零零哈哈哈哈哈哈哈
是因为小杨眼睛太小了嘛？没有看到他醒了
哈哈哈哈哈至少还是很搞笑的
不是也太蠢了 四点不盘的么？
好烫好烫
我要被贾青笑死了哈哈哈
这个很好玩，之前和兄弟们玩了好几个小时
小杨大脑都要死机了
《如醒》
《弹 丸 论 破》
假装是来的最早的。。
有人行动他会拖时间，没人行动直接喊？
如果坏人和别人一起醒了会怎么样
好烫
冤枉你的人比你知道你有多委屈hhhhhhhh
这里小杨分析的有问题，高斯小傲出大盗肯定互点怎么可能贾庆是共犯
小砍是真没看到，笑死了
我是穿越了吗？这集我好像看过
这集我大概似乎好像看过-
这集我好像看过
莫名奇妙的好笑哈哈哈哈高端起来了
[前方高能]
好烫好烫
高斯衣服是不是穿反了
king回来辣
这都自爆了
表情真好笑
好烫好烫
不是我已经看不懂了
好烫好烫
[ohhhh]
[ohhhh]
小砍是想让另外三个觉得自己在保高斯
[前方高能]
好烫好烫
哈哈哈哈哈哈哈哈哈
爷青回！！！！！！！
我嘞个，绕晕了
空瓶？？
我还真回去看了一下小砍看没看到
哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈
高傲高加油啊啊啊啊啊啊！！！！！
献给爱丽丝
最主要的是海皇选对了人唯一一个有证据的被自己选了
好烫好烫
高斯寄欧爱吃：马哥咱两还能真心换真心吗[doge]
好早
高斯一当坏人就隐身哈哈哈哈
笑死我了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
《你们要整我！》
这三个人在模糊事情，因为票权已经在他们手上了，他们在等大盗卧底露馅
00:26
《开机了 有点卡》
好烫好烫
跳伞 17:55
好烫好烫
好烫好烫
欢迎回来
…
好烫好烫
饿了么美团组合
饿了么美团组合
这波真有问题吧，同时两点醒，小潮没偷的情况下这么打只能是共犯，然后盘单独醒来的就行因为没有两个1点，正常人不这么盘吗
你有（       ）啊！
我嘞个狼人杀技巧，狼踩狼啊
小砍真的好有节目效果
名侦探高高
烧脑
好烫好烫
好烫
《警长高斯》
高斯与世隔绝
高斯在那！（小潮音
[前方高能]
贾庆虾了
好烫好烫
好烫好烫
好烫好烫
书接上回
好烫好烫
《孤斯一掷》
好烫好烫
好烫好烫
好烫好烫
好烫好烫
教师节快乐
爷青回!!!
《贾动作》
[前方高能]
第一眼在看海皇，后面一直在看奶酪
好烫好烫
好烫
好烫好烫
没看懂小砍在干嘛
陷入回忆ing
好烫好烫好烫
高斯捂眼睛可爱！！
哈哈你说的太对了
高斯已经分析死了还有啥揣测的
我也没看见小杨醒
带进勾里了
本来必赢的局让小砍这个2比
小砍是真眼瞎啊建议别在出现在游戏里了
小傲:怎么每局都烧脑？
漏了小砍说了查了旁边点数，不过晚说了不太可信
使用樟脑丸进化了
好烫
好烫好烫
好烫好烫
好烫好烫
喵喵喵
这下彻底丸辣！
bgm选得真好啊
他是key！
哈哈哈哈哈哈哈哈哈哈或哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
‘
这三局大道都隐身了
好烫好烫
最晚的一集。
《费城枪击案》
丸辣
《费城枪击案》
哈哈哈哈哈哈哈哈哈哈哈哈
这个bgm配上小杨这句话真的好有感觉....
突然改变的音乐
民搅
狼狼杀
好烫好烫
好烫好烫
高斯之信任
[ohh]
灵魂消失
杜海罪
渡海醉
渡海犯罪
好烫好烫好烫好烫
好烫
好烫好烫
斯儿这个头发长度真的好好看
来噜
牛逼
哈哈哈
加bgm
好牛啊
好烫好烫
好烫好烫
因为当时水滴鱼眼睛没睁开，广庆以为没醒是吧
眼睛小吃大亏
好烫好烫
烫烫烫烫烫烫烫
眼睛小全责
傲潮杨一起醒，高斯说对点数，砍明牌共犯，结果小杨谜语人把节奏带跑了
傲马杨三个人一起醒来然后高斯说对点数不是显而易见，小杨谜语人自己搅局
这次小潮必输
加工资
哇
开学第一个假期来了
空瓶
空瓶
猜一猜，杨哥他绝对会选高斯媳妇
题目：《背锅的羊（杨）》
《福尔低斯》
好烫好烫
好烫好烫
小马先入为主了 高斯的逻辑完全没问题
高斯：俩。。。俩共犯？？仨共犯？？四个共犯？？？
这把真的太秀了。。。在三个人面前爆狼都能扳回来。。。
小杨：不是，这意思，我是大盗？？那肯定我是大盗！！
高斯如果和小砍一起醒的呢，或者四点的牌呢？就一点可能性都不给是吧，上帝视角真牛啊
哪逻辑怪了，高斯如果是大盗的话，这个逻辑也是通顺的，所以并没有自证成功
高斯：要不就我偷的吧！！
海皇这把真绝了
神金音效笑死我了
这是上一期整蛊小狗的时候，跑外勤买回来的吗？？？
这三个人看谁跟着他们的话
吓我一跳
好烫好烫
好烫
好烫
好烫好烫
好烫好烫
海皇5点，高斯6点，如果海皇说小砍是共犯，那没人能偷奶酪了啊
[OHHHH]
高子的表情
好烫好烫
此时的小潮还不知道接下来会发生什么
？
高顿局
好烫
[ohh]
。。。
这一下我吃饭被呛到了好难受哈哈哈哈哈哈哈哈哈但是好好笑《怎么不可能》
水滴鱼de疑惑
0.
潮奥斯影帝
《傲笑》
《这集我好像在哪看过》
小杨好牛！！！！！
+
这把共犯应该这么问，因为潮是两点还有个一起睁的，奶酪还是一点没的，但高斯不知道，所以潮得先说自己两点醒的，奶酪不在了，把这个信息告诉高斯，然后一个个问其他人几点醒，最后问高斯，这样高斯就能选一个时间段
感谢小砍吧哈哈哈
不是？小砍在干嘛？
哈哈哈开始了哈哈哈
只有高斯是清醒的
烧脑哈哈哈
好烫好烫好烫
.
小傲呢
马哥这波节奏带的特别好，没人怀疑到高斯头上
高子这期剪辑太强了
小狗:这把我带飞
杰西卡！
、：{Lp/kojiuhygmfntvyjbukilo；怕【】
好烫好烫
他们仨干啥呀哈哈哈哈哈哈哈哈哈哈哈哈
好烫好烫
好烫
埋下伏笔
砍爷在搅局哈哈哈这怎么输啊
天崩开局
你说的太对了 有道理
我凌晨4:50醒的
这里很明显高斯说的比较有道理啊。。。
贾广大：很喜欢小傲的一句话，我讨厌你
不是，这小砍怎么能看不到小杨睁着眼啊？！
别说小杨猜对了
所以为啥没人盘6点
空降02：01
空降02:01
就这个桌游爽！！！
《歪打正着》
歪打正着
诈胡！！！！！！！！！！！
太坏了高子
不是，小傲和小羊一起醒的，说小羊是大盗
笑死
.
偷感好重啊
BGM：Feeling good
小砍永远的key
哈哈哈哈哈哈哈哈哈哈哈哈哈
水滴鱼太好笑了草
好烫
贾庆在干嘛
沼王诶
33
好烫
有人帮海皇说话，不管是好是坏，但没人帮小砍说话，一眼秒了
完了我也想笑哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
好烫
愚人，下把带刀好人把他给刀了
笑死啦哈哈哈哈哈哈哈
小傲.exe 未响应
好烫好烫
高子你…
《他是什么时候进化的》
他是什么时候进化的？
小杨：未响应
福尔摩（高）斯
教父，这是大招点上了！？
高斯未响应
上一局后，king把自己大脑干宕机了
小凯故意这么说，让别人没有怀疑海皇，因为别人都知道他是共犯了，所以默认共犯的话不可信
空瓶
不是，比我玩模仿者还烧脑？
小砍！游戏のking！！
他们再说什么？
紧张紧张
才发现小潮手上拿的是沼王，里面还有只卡比兽呢
感觉小傲存在感好低
好烫好烫
哈哈哈哈哈哈哈哈哈
《不管有几个人看着》
小杨怎么这么好笑
小砍要碎了，抱抱
海皇变聪明了
我看到背景的搬家达人了！！
神经啊（bushi
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
不是 这不是小曹院长弟弟的
好烫好烫
小砍怎么变帅了
这里聊爆了，海皇说五点的时候已经没了，高斯是六点醒的，不过局势太混乱了，估计没人注意
烫手！
贾庆好可爱ww
哈哈哈哈哈哈
小潮那边海皇好像在左边，没小砍
小潮这一句很关键
哈哈哈哈哈哈哈哈哈
游戏的king
这音乐好紧张
3000人
3000+
马哥这个共犯选的值啊，无痛速通
什么逻辑
好烫好烫
皇哥这个表情让我想到了18年拜年祭
《你是真女巫？》《我也是狼人》
庆表反水，把脏水海皇身上带，再加上大家只能打一成反逻辑。帮海皇脱身份。这波操作，高
小杨承包我这一集的笑点笑死我了哈哈哈哈哈哈哈哈哈
胖胖组合
好有道理，但是我听不懂
所以，小潮的新视频也是这个呀，是不是没买到新桌游
贾庆急死了！！！！！
爷青回！
小砍的叛变
空瓶
悬疑电影片
水滴鱼没存在感
好烫
老喜欢这个系列了
出息了3000多人
哈哈哈哈
狼尾小高，太帅了，我也是狼尾，哈哈哈(我女的)
《竟然是我》
好烫好烫
加工资，必须加工资，海皇
妈呀头脑风暴
贾庆太好玩了哈哈哈哈哈哈哈哈哈
《没看到》
“真诚才是必杀技！”
来↓老↑
小狗哈哈哈哈
三狼局
大家好，我也是回来看的
小砍瞎说
《小砍院长》
海皇：天塌了
《得高斯者得天下》
砍是真没看到小杨啊哈哈哈哈哈
好烫好烫
高斯：不对啊
拿捏！！！马哥
好烫好烫
高段
这不明的？还能问出我是共犯？
好烫好烫
哇塞，这波头脑的顶端
高斯说的多明确啊，这瞎投
水滴鱼这把输在眼睛小
不是，他真没看到啊！
回来重看
《你说的太对了》
懂了吗？管你听没听懂看就完了（海皇音）
好烫好烫
哈哈哈哈哈哈哈哈哈哈
好烫好烫
好烫好烫
高斯Tou
好烫
！你肯定会看第2遍
小坎查的是马哥呀
好烫好烫
好烫好烫
海皇这把的MVP
+
两天了，吃不了了
可能假期正在拍视频，就是这个拿着手机这个
加查（bushi）
小傲纯观战他是重在参与
一切就毁在king了
吓死人了这一集
小狗眼睛亮晶晶的
justdoit
《who moved my cheese》
勾斯终于更新了
记住海皇现在的行为
啊？
我想。我想死了。
翻译：你我他你我他
烧脑
纯情战神杜海皇
共犯叛变了
哈哈哈哈贾庆
可是马哥刚刚聊爆了啊
什么没看见已经忘光了哈哈
《演员的诞生》
书接上回
经典好人内讧
刚从小潮院长那里刷过来的，还有谁！！！！！！！！！！！！！
开心开心
好帅的造型啊小高
高斯聪明
bgm好带感
好烫好烫
《烟雾弹》
是同一集吗
好烫好烫
好烫好烫
贾庆反逻辑带飞
好烫好烫
好烫
《高斯与小潮院长联动》
想赌一把尝试使用反逻辑的小砍
好人在乱玩
111
爷青回！！！呜呜呜
king真的牛 能把海皇保住
真过载了
马三
猫猫
我现实生活中可精了
我靠，现在咋还那么多人？
好烫好烫
烫！
G R B B R G I O U N
游戏的ting
URBBRGROUN
好烫好烫
￡
我的妈
完啦
好烫
好烫好烫
好烫好烫
奇怪的音效
求刚才BGM
书接上回
小砍不会是没看到小杨吧hhhhhhh
妹子磕cp能别贴脸不
他俩演起来了哈哈哈
key教的一首好局哈哈哈哈
笑傲这期存在感好低
《 你生病了？》
海皇：我比别人多一段记忆
高斯这个必须推海皇，没有什么分析不分析的，你真要说分析高斯甚至没有怀疑小砍是大盗的可能性
所以这里根据key的话，字幕里的“搁”换成“隔”应该更符合他的意思？而且key的发音好像也确实更像二声
帅
剪得太碎了
V）“BCFGHJKLNTU&{
活死人
海皇运气太好
小砍是喝了点吗哈哈哈哈
世界是一个嘴炮游戏，谁说的多且语气对就有理
.333333333333
.............
贾庆笑死我了哈哈哈哈
好烫好烫
欢迎回来求证
卡了
+
[ohhh]
《寻找
k
，v每次你准*9备VB
嗯？不是前两天才看过？
演的真的离谱，每一局都有人聊爆每一局都投错，这一局最离谱
他连奶酪都没拿小砍总能看见他们拿奶酪吧
包是演的兄弟，从高斯质疑小砍点数的那一刻开始，就已经确认了
沼王可爱捏
笑看的贾庆综合症又犯了
有生之年
叛变的共犯
这里海皇说五点还在就做实高斯是大盗了 可以直接投票了 还是没反应过来
我发现了，这游戏谁说的最少，谁最有可能是大盗（不一定）
低斯
哈哈哈哈哈哈哈哈哈哈
疯狂拉扯哈哈哈哈
沼王可爱捏
明明第一个帮海皇的是小潮啊哈哈哈哈，一群笨蛋被转移注意力了
玩的什么玩意
这期好人都太呆了吧
wokenday baby！！！
爷青回！！！
马哥我们还能真心换真心吗
这期观感真的不好。
好烫好烫
好烫好烫
反复观看，太好笑了
水滴鱼绷不住了
高子一直言语视线拉拢小傲这一票，很关键的一票4比2稳赢
阮阮呢
？？？
所以只要发起投票就赢了
高斯发现只要稳住小傲这一票，4比2稳赢，所以一直暗戳戳获得傲子信任
黄哥真忘了几点醒的
小砍看皇，两人打招呼，杨回头砍低眼看桌面，砍抬头时杨已转头，完美错开
高斯：还有高人？？
啊——？
0.01
好烫好烫
小潮这一句小杨是共犯给我整笑了
哈哈哈，砍爷的笑容直接凝固
小砍是卧底吧hhhhh
丸落~小杨要被脏咯
o_O
笑死我了海皇的表情
破案了！！没看见小杨眼睛！
就为什么会信共犯说四点没的呢
我靠海皇什么时候这么厉害了
[前方高能]
[前方高能]
[前方高能]
[前方高能]
[前方高能]
[前方高能]
[前方高能]
[前方高能]
如果潮和高都是坏人，那这把必高端局
[前方高能]
好烫
输的是游戏赢的是人生
高斯这期剪辑真的NB
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
who sent you
好烫好烫
高斯在哪？
《平行时空》
好烫好烫
高斯好厉害，他知道说服小傲后在票数上就赢了
好烫好烫
hhhhhhhhh
小样懵了
高斯：马哥我以后还能相信你吗
高斯很快反应要拉小傲的票
纯情皇和king在同频层一个一一个三
来了
藏不住 17岁的少男心事
潮音～
海皇，小潮：憋笑挑战
程序语言从0开始数，确实是第二局
水滴鱼眯眯眼，没有看到秒了
好烫
应该就是一样的时间但是没有人醒所以剪掉了
这局要不是贾庆那一下其实不会那么乱哈哈哈哈哈哈
樟脑丸教父进化了！
好烫好烫
哈哈哈哈哈哈哈哈哈哈
高子一句话把傲子拉进自己阵营里哈哈哈哈哈哈
小杨CPU已经烧了哈哈哈哈哈
我听到了嫁祸的回响
好水！！！！！！！！！
好烫好烫
贾庆就是这个游戏的key！！！！！
烫烫烫烫烫烫烫烫烫烫烫烫烫烫烫烫烫烫烫烫烫去了
《欲妈又止》
key的陨落
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
好早
好烫，好烫
哈哈哈哈哈哈哈
《整蛊小潮院长》
俺也一樣
前面那个黑尾笑死我了
好烫
好烫好烫
光速自爆
牛
哈哈哈哈哈哈哈哈哈
笑死我了
3.
人机
到底谁是共犯
剪辑好帅
马哥这肤色
海皇进化论
偷的上来一顿胡编搅局装共犯不无敌了？
妞
小傲已经懵逼了
三个同阵营的人互打让真坏人漏破绽
好好玩
好好玩
小潮看到的吧
烫烫烫
小砍一看就是平常玩过狼人杀还知道垫飞（反逻辑让别人觉得小砍是在嫁祸）
嘉庆立大功
冷了
好高能
wc
0+9-**-9+63
好烫好烫
来了来了
不选小潮就没了运气好啊
海皇使用手册该升级2.0了
欢迎回来
好烫好烫
好人之间的怀疑最恐怖
自由麦
烫死了
凉了
未来回来的记住此时的小杨
要么说玩游戏别带混乱邪恶的
哈哈哈哈哈哈哈
感觉小潮好喜欢拉海皇当共犯
《欢迎回来》
哈哈哈哈我还以为小砍再装
哈哈哈哈哈哈哈
哈哈哈哈哈哈
先
元老组是极好的...
最后一局真敢发，这下评论区开启辨论赛了
歌名：Fear-FreshmanSound
整个一个小时得
女上位
Hhhhhh
King
坎子牛啊
啊哈哈哈哈哈哈绝了
哈哈哈哈哈哈
此刻最右面的瞎子睁眼了
真以為在看辯論賽
《贾笑》
《贾偷》
这时候就只有海皇和高斯没有同时醒的人，问高斯看了谁的是几，胜算会大大增加
倒过来发现我也没看到杨醒了……
我真是盗圣！
应该是真没看到，就是他往那边漂的时候，小羊转了个头，然后小羊转回来的时候，小凯看像桌子。
笑死我了，因为水滴鱼眼睛太小了，砍爷没看到。
五点就没了！！！怎么会是六点拿的！！！！
五点没看到怎么会是六点拿的呀！！！
不就是3 6有嫌疑吗 不怀疑6吗
哈哈哈哈哈
？？？
感觉这期小杨崩溃了哈哈哈哈哈
有微电影那味了
樟脑丸の疑惑
互看骰子
娇羞的砍爷
不是3点还在 那不就是六点拿的吗
海皇的运气真的一直都可以，差一点就去看高斯的
?
小砍记忆丢失了
离谱，小砍是大盗，那他为什么要承认小扬是1点，他不承认的话，话题完全就在三个1点醒的身上，就凭这点小砍不是金水，也能算是个银水，这能出他？
小杨上一期也是问什么都不知道，就是不认真玩
回来重看
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
这俩交换报就能赢了
饿丝笑砍
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈
笑死我了哈哈哈哈哈哈哈哈哈哈哈
好烫
这是在干什么？？？
刚看完小潮的
沼王可爱捏
好哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
高斯:啥时候规则改成俩共犯了
小砍好像没看到小杨醒...
小傲不说话，三个人有两人能证明海皇说谎，直接能确定共犯，玩啥呢
那么只有一个马哥了呀
可爱宝宝！
《哦》
咱哥怎么越长越像人机
现在还能这样玩，纯粹是因为小砍搅局了…下次同时醒的时候好好看看队友吧，我感觉他是真没看到
不是，这把好人这么好打的局，这搅的哈哈哈哈哈好人给自己上难度是吧
这期标题真的笑死
啊
他竟然打了两层逻辑
凌晨三点半~（bushi
纯情小皇
昨天的热热能吃
不吹不黑，高斯这把的推理其实挺容易推出来的…三人同时自己又好就剩俩了小砍一直吸火就剩海黄了，觉得这把的高光应该是小砍
贾庆笑死我了是真没看见哈哈哈
感觉这把小狗的锅 高斯发言挺做好的 他没听进去
这集我看过
《贾动作》
胖胖三人组
看到王权骰铸乐
hhhhhh
我好像看过wwww
贾庆就是永远的king!
哈哈哈哈哈哈
不过就算正确分析了，后面那就是小潮和贾庆开一个也难赢，同点醒的人太多了，偷盗时间不好推
昨天
一块醒的大道也必须得偷
贾庆反水
好烫好烫
高斯这里犯思维误区了感觉有点，点数对的上不代表他不是大盗啊，只能证明点数说了实话而已
破局好像bgm用的是savage吧，不是这个
不是乱分析，他们三个铁好人（一点醒且没人偷奶酪）互咬，只要有人识图和他们同步，他就是共犯（大盗为了避嫌会减少发言）
烧烤！
...
恐怖奶奶
《who moved my cheese?》
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
好烫好烫
要不是上帝视角知道身份，我已经裂开了
可惜，我还以为会玩高端点
海皇说了五点就不在了所以不可能是高斯
记住这里后面要考的
完了啊
绷不住了
致敬传奇背刺王冥河
哈哈哈哈哈哈哈哈
水滴鱼进化成章鱼了
这剧小坎牛
海皇这个搅局可以的
这里的话小砍刚看到水滴鱼结果他眼神刚好转过去
笑死了我也没看到水滴鱼醒了倒回去看大爆笑
破如防
水滴鱼已经宕机了
其实很好盘
小傲：烧脑
<>:L<LLL:>????????????????????????
疑如惑
我看得跟小杨一个表情哈哈哈哈哈哈cpu报废啦
要笑死了哈哈哈哈哈哈哈哈哈
谁教你这么剪的
感觉有没有睁眼查出来很简单，听裁判的停顿时间就知道
金水
《我们都穿黑衣服不告诉贾广大》
每次高斯是大盗都会很难
香蕉型人格
这还看不到？小杨搁中间阿！他要看海皇，看不到小杨？ 小杨还坐右看了手还放下来又上去扶眼镜
哈哈哈哈哈哈哈哈哈哈哈
这集我看过
贾庆牛牛
沼王！！
感觉全部都在撒谎
好烫好烫
\'
猜疑游戏还是少说话有好处的
这局，平民乱搅，偷子想输都难输
原话是人生不得已的时候
从头笑到尾
水滴鱼:人如机
蛋黄呢？
水滴鱼的觉醒
好烫
回来了
欢迎来到谁是卧底awa
好烫
水滴鱼的无语
666金鱼记忆！11
共犯小砍哈哈哈哈
《傲恼》
还不如直接把小潮那期规则拿过来放呢
不热乎了，还是在电视上看到，然后过来的
。似曾相识
耶～
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好有节目效果
马哥躺赢哈哈
隐形人小傲
笑死我了
《你说的太对了》哈哈哈哈哈哈哈
不想想高斯是大盗海皇为什么说奶酪没了
小杨说的这句话感觉以后会被剪进类似于潮t的电影预告 很有感觉
我滴个真假共犯啊
终于又看到了
和以前不一样了
好烫
好烫
《那我们4个人都洗清嫌疑了》
这集我是不是看过
水滴鱼的无奈
眼太小了没办法
漫威莫比亚斯版《致爱丽丝》
哈哈哈哈哈哈哈
海皇最精的一集
小杨和高斯的超燃智力对决
丸辣
小傲：让我说句话呗
他好像是真没看到他睁眼了，哈哈哈哈
樟脑丸的记忆
哇，奶酪大盗终于有重现于世了！！！
好烫好烫
全是破绽那个，高斯6点醒是他自己说的，没人查验，在其他人眼里可能是在撒谎
好烫好烫
好烫好烫
7000+正在观看，我勒个豆
，
这集我看过
小杨可能眼睛太小了hhhh
这局就只能盘小砍和小潮，但是嫌疑度最高的6点小潮没撒谎，小砍玩的又太新手了，所以很容易归到小砍身上
我感觉这期在整小杨hhhh
烫
[前方高能]
好烫
好烫
要长脑子了
得，变成推理题了
不至于不至于不至于不至于不至于
笑死我了，愤怒的水滴鱼
烫烫烫
无敌哈哈哈哈
牛啊
快投吧皇哥要憋不住了
眼睁太小了，贾广大没看到
野生空瓶*2
小傲:断机中Ing……
爷青回
小潮这里要翻高斯的时候迟疑了一下hhhh
七千人出来吧
教父的直觉
死因：踩了的老板
哈哈哈哈哈哈高子以后都是这种剪辑了吗好好笑哈哈哈哈哈
死因：踩了老板
好快好快！
前面的你再说一下这是绿龙试试，这是沼王好吗
[前方高能]
好烫好烫
这里小潮爆了吧？
好家伙牧师直接查杀狼人
7000千人
好烫
原来，小砍是共犯
小砍还睡着呢吧
两个共犯
小砍是真没看到小杨醒了hhh
好烫，好烫。
我以为你很单纯（小潮音）
哈哈哈哈哈哈
我在现实生活中可精了
我要到上海去告你的状，这一路鸟语花香
俩最聪明的互选呜呼呼
终于更新了！！！
好计谋啊，故意投海皇，让他们觉得海皇是坏人，慢慢的又改变了了
小潮，高斯：好机会！
对不起 感觉马哥这样好帅
小潮是不是也发过奶酪
《书接上回》
看的血压飙升
高斯在哪(不是)
好烫好烫
贾庆厉害
空瓶吸吸
NB
好烫好烫
早
是沼王诶！！！
好耶
好耶！
流
笑死了
哈哈哈
烫
哈哈哈
好烫好烫
好烫好烫
哈哈哈哈
高斯坐姿好雅
好烫好烫
好烫
小傲这次来了哦
在干嘛
百口莫辩啊小砍哈哈哈哈哈哈
高子好帅
好烫好烫
好烫
你们仨是怎么打起来的哈哈哈哈哈哈哈
樟脑丸真的除潮啊
《水滴鱼的疑惑》
好烫好烫好烫好烫好烫好烫好烫好烫
49年加入国军
