标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
我膨胀了！居然敢为300人做饭！,绵羊料理,https://www.bilibili.com/video/BV1gBp7enES8,426.8万,1.0万,今天的食材：80斤肉！话不多说，直接开干！,28.6万,22.7万,28.6万,6215,"['bilibili食界杯', '美食', '美食制作', '学校', '美食制作', '公益', '厨艺', '生活', 'vlog', '食堂']",2024-09-10 17:30:00
《原神》基尼奇角色PV——「生意」,原神,https://www.bilibili.com/video/BV1Mj4zeSEqW,175.8万,6818,"虽然阿乔经常对基尼奇的生计指指点点，但它打心底认为，以其伟大圣龙库胡勒阿乔的身份而言，其实自己不应该对这类鸡毛蒜皮的小事如此上心。
但如果不多出点馊主意，这皮硬的小子要怎么才能快点完蛋呢？

中文CV：
基尼奇——斑马
「伟大圣龙（自称）」库胡勒阿乔——弭洋

日文CV：
基尼奇——杉山纪彰
「伟大圣龙（自称）」库胡勒阿乔——竹内顺子

《原神》bilibili服下载地址：https://www.biligame.com/detail/?id=103496",19.9万,4.2万,19.9万,1.7万,"['游戏', '手机游戏', '基尼奇', '米哈游', 'miHoYo', '原神', '原神5.0']",2024-09-12 12:00:00
中秋节礼盒测测测！,杜海皇,https://www.bilibili.com/video/BV1zw4nejEXm,112.8万,1.6万,"希望各位观众老爷们喜欢这期视频！
喜欢记得点赞/投币/收藏/分享！",11.5万,5.2万,11.5万,2164,"['搞笑研究所', '生活', '搞笑', '搞笑', '奇葩', '逗比', '幽默', '生活', '测评', '娱乐', '高能', '搞笑研究所2024 6.0', '杜海皇']",2024-09-12 18:20:03
纯黑《黑神话：悟空》全程无伤攻略解说 第六期,-纯黑-,https://www.bilibili.com/video/BV1cx4WetEVT,81.5万,1.2万,"ED非官方部分素材出处：BV1e7421R7sR非全收集攻略，但每一期开始前会把之前落下的东西收集全。为了我的心理健康，不会再做构式BOSS了！莲眼是最后一个！（除非和主线有很大关联）
一般情况下会根据游戏背景选择会用哪种语言的歌曲做片尾，但奈何自己中文歌听的太少（没有说中文歌不好的意思，死宅一般只听ACG相关歌曲导致的），只能选兼容性较强的英文歌了。制作片尾需要大量时间精力，已经做好的不可能再更换。",11.4万,12.7万,11.4万,3218,"['游戏', '单机游戏', '纯黑', '解说', '无伤', '悟空', '攻略', '黑神话', '不白', '不能', '寅虎', '辰龙']",2024-09-13 12:00:00
特别节目——国足公司,大鹏懂个球儿,https://www.bilibili.com/video/BV1sr4BeCE1w,129.2万,4093,笑梗不笑人，不喜请轻喷。,10.2万,7.2万,10.2万,2.3万,"['运动', '足球', '国足', '中国足球', '体育', '足球', '中国男足']",2024-09-11 11:10:42
“我们都是小怪兽，总有一天会…”是上杉绘梨衣唱了《最后的旅行》【龙族：卡塞尔之门公测主题曲】,鹿火CAVY,https://www.bilibili.com/video/BV17y4ae7Ezz,294.5万,2587,"“命运十字路口，谢谢你曾停留。”
“站在十字路口，再回首，世界如此温柔。”
是录歌时眼眶湿了一遍又一遍的一首555
曾为我们带来无数感动的龙族，时隔多年后得到重生！
9月12日，《龙族：卡塞尔之门》公测在即，
明天上午十点，我们准时相约卡塞尔学院！见证小怪兽们的名字再度“手牵手”！

—————————————————————————————
游戏《龙族：卡塞尔之门》主题曲
歌曲：《最后的旅行》
作词：陌离【浮声未歇】
作曲：164
演唱：鹿火Cavy
编曲：忒格路
制作人：刘鑫磊
吉他：颖琴思
Bass：颖琴思
和声：漆柚
弦乐：国际首席爱乐乐团
音频编辑：刘鑫磊/漆柚
混音：Alex
母带：Alex",8.2万,2.4万,8.2万,1.0万,"['音乐', '翻唱', '上杉绘梨衣', '绘梨衣', '龙族', '二次元', 'cos', '龙族：卡塞尔之门', '鹿火']",2024-09-11 10:00:00
这回对味儿了吧！ง •̀_•́)ง,陕北说书艺人熊竹英,https://www.bilibili.com/video/BV1C1pseZEhN,181.5万,1086,-,29.3万,3.7万,29.3万,7603,"['音乐', '演奏', '民乐', '传统文化', '《黑神话•悟空》', '陕北说书熊竹英', '黑神话里的陕北说书人', '三弦', '非物质文化遗产', 'steam游戏']",2024-09-10 15:53:24
【年度巨制】琪计划：出击【2024崩坏3同人大电影】,特效小哥studio,https://www.bilibili.com/video/BV1UxpEe7Ej3,218.8万,2.0万,"琪亚娜！出击！
祝崩坏3八周年生日快乐！",18.8万,12.6万,18.8万,2.8万,"['崩坏3周年环游记', '游戏', '手机游戏', '游戏', '手机游戏', '琪亚娜', '崩坏3', '崩坏3同人大电影', '孑遗千星', '崩坏3八周年庆典', '感动', '薇塔']",2024-09-10 12:00:00
《清风小蛇》你就是穿越大军中那0.0001%的非人类！,小清风漫谈,https://www.bilibili.com/video/BV1v84Ye1Evf,274.2万,473,Not Found,2.0万,6255,2.0万,51,"['UP！原创动画', '动画', '同人·手书', '原创动画', '小蛇', 'UP！原创动画3.0超时空高校季']",2024-09-10 21:24:55
究极的海马传说【水无月菌】,水无月菌,https://www.bilibili.com/video/BV1ma4seGEMM,64.0万,3567,感谢观看！！！喜欢记得三连点个关注！！！,9.7万,7.2万,9.7万,9061,"['游戏', '桌游棋牌', '娱乐', '实况解说', '游戏王', '桌游棋牌', '游戏王大师决斗', '游戏王 Master Duel', '卡牌游戏', '大师决斗']",2024-09-13 20:00:00
《终极格斗4》博伊卡vs监狱之王！超燃动作电影！肾上腺素飙升！,摩斯神探,https://www.bilibili.com/video/BV1QbpsezEjS,356.6万,1820,《终极斗士4》,4.1万,2183,4.1万,262,"['人人都能聊影视', '影视', '影视杂谈', '动作电影', '电影解说', '博伊卡', '人人都能聊影视3.0']",2024-09-11 07:00:00
30亩老山塘的最后一网，能否摘掉李赔光这个名号？,李维刚的日常,https://www.bilibili.com/video/BV1Zo4BeYEBk,145.9万,9050,Not Found,12.5万,3.0万,12.5万,1455,"['记录美好农村生活', '生活', '三农', '生活记录', '乡村', '抓鱼', '农村生活', '小青年大丰收']",2024-09-11 18:38:24
《归龙潮》长命锁PV | 有心没心，何者能活？,归龙潮,https://www.bilibili.com/video/BV1XK4zexEZc,335.1万,875,"「我用自己的心换了什么？」
「商业机密~没有心，才能活得更好，赚的更多。」
「所以，你也想典当自己的心么？」

➤《归龙潮》全平台公测预下载现已开启！
✦公测开启时间：9月13日10:00
✦立即前往下载：https://www.biligame.com/detail/?id=109978✦预下载指引：https://www.bilibili.com/opus/975737550873296953",8.4万,1.6万,8.4万,7946,"['游戏', '手机游戏', 'PV', '归龙潮', '归龙潮公测定档', '归龙潮913公测', '长命锁']",2024-09-11 19:04:29
全网完成度最高的《道诡异仙》联动游戏实机！（是真的是真的不是坐忘道！！）,新倩女幽魂电脑版,https://www.bilibili.com/video/BV12f4qeGE5k,313.0万,1565,"全网完成度最高的《道诡异仙》实机游戏来了！5分钟概念剧情&实机内录直接呈上！
不用等N年N个月，【9月19日】即刻上线！
新倩女幽魂×道诡异仙官方，联动版硬生生做了个3D水墨修仙大世界！
不仅是单机体验，而且全！流！程！免！费！
坐忘道不骗坐忘道！不信看片！

*本片实机部分配乐来自王朝1982《坐忘道》正版授权",6.2万,8489,6.2万,1.7万,"['游戏', '网络游戏', '恐怖', '新倩女幽魂', '单机游戏', '国风', '灵异', '道诡异仙', '李火旺', '新倩女幽魂联动道诡异仙', '网络小说']",2024-09-12 11:00:00
曾经爆红全球的小鸟游戏!究竟隐藏着什么结局？！,日向源,https://www.bilibili.com/video/BV1En4keCE9e,88.4万,1205,"游戏下载链接：https://pan.quark.cn/s/5a546871df33
本期不仅是补全童年的旅程
也是圆梦童年的旅程
自动和梅弟认识之后
得知了他几个月的坚持让我非常动容
随后我们便开始了各方面的合作
在他已经实现的基础上
进一步做出了更多优化
以及新增了各种功能
最终全部历时接近6个月
才给大家带来本期视频
后续有机会的话
我们后续会再合作修复模拟动物人生这款游戏
这一切就看各位的三连支持了！
有了这次的经验
动物模拟人生的修复
相信不要两个月我们就可以做出来
最后喜欢本期视频千万不要忘记给梅弟点个关注
知道了他的经历
让我想起了自己以前第一次学习游戏开发
真就是这样一路摸爬滚打过来的呀",6.7万,4.2万,6.7万,1652,"['万物皆可游戏', '游戏', '单机游戏', '小游戏', '怀旧', '童年回忆杀', '模拟经营', '游戏杂谈', '4399', '实况解说', '展翅高飞', '游戏鉴赏家']",2024-09-12 12:30:00
🔨我叫王大锤，是白客，正在参加一档真人秀！🔨,业余旋手,https://www.bilibili.com/video/BV1414heoEAh,161.8万,1088,万里挑一的局——大锤版！,13.7万,2.5万,13.7万,6706,"['综艺爆款大本营', '娱乐', '综艺', '白客', '万合天宜', '喜剧', '王大锤', '真人秀', '万万没想到', '爆笑', '万里挑一的局', '剧综爆款夏令营-UP影剧综指南']",2024-09-10 18:11:53
《小杨有约04#》：天才,小杨Johnson,https://www.bilibili.com/video/BV1ir4zeaEvH,63.0万,6531,"小杨有约第四期！
视频内容纯属娱乐，不要当真～
你希望在节目里看到谁呢？
欢迎关注！一键三连也拜托了！！",8.6万,3.6万,8.6万,1216,"['生活', '搞笑', '高能', '生活', '娱乐', '搞笑', '转转联名', '转运旺一下', '转转旺旺联名', '小杨', '小潮院长', '小潮team']",2024-09-13 12:00:00
懂王哈里斯战后分析 泰勒斯威夫特正式归票民主党,波士顿圆脸,https://www.bilibili.com/video/BV15A4zebEz3,153.1万,1.7万,Not Found,8.8万,1.3万,8.8万,3447,"['环球资讯站', '资讯', '环球', '社会', '美国', '犯罪', '法律', '懂王', '拜登', '哈里斯', '美国大选', '资讯直通车4.0']",2024-09-11 19:31:21
老师：出去就说是我教的,新华社,https://www.bilibili.com/video/BV1SapseqEQx,133.4万,1225,"视频：赵紫羽
策划：黄康懿、苏家梁、庄云凯",16.7万,2.0万,16.7万,3455,"['资讯', '热点', '学习', '校园', '教育', '教师', '新华社', '老师', '教师节']",2024-09-10 15:22:12
11岁儿子被侵犯，父亲把嫌犯打到不成人形，随后霸气自首！,格斗迷官方,https://www.bilibili.com/video/BV1mc4heoErH,140.2万,2636,11岁儿子被侵犯，父亲把嫌犯打到不成人形，随后霸气自首！,17.5万,1236,17.5万,1139,"['运动', '竞技体育', '拳击', '格斗', '霸气', 'mma', '格斗迷']",2024-09-10 18:52:34
第一次出任务好紧张,Re-0v0,https://www.bilibili.com/video/BV1rk4peoEZh,409.9万,1815,-,39.6万,2.2万,39.6万,5.7万,"['黑神话天命人来也', '游戏', '单机游戏', '黑神话悟空', '《黑神话：悟空》8.20 直面天命']",2024-09-12 18:49:25
【不】 要 离 开,半宅films,https://www.bilibili.com/video/BV1Ww4BegEb2,57.2万,157,"电影：《禁闭岛》《超凡蜘蛛侠》《和莎莫的500天》《飞屋环游记》《暖暖内含光》《乔乔的异想世界》《银翼杀手2049》《教父2》
BGM：Two Different Worlds（后期自己调慢了）",14.9万,2.9万,14.9万,5632,"['影视神仙剪刀手', '影视', '影视剪辑', '蜘蛛侠', '影视剪辑', '教父', '乔乔的异想世界', '神仙剪刀手5.0', '和莎莫的500天', '暖暖内含光', '飞屋环游记', '银翼杀手', '格温']",2024-09-11 12:02:35
谁是海难吸铁石？【硬核狠人70】,小约翰可汗,https://www.bilibili.com/video/BV1kepjePEPz,268.1万,2.3万,本篇为硬核狠人之查尔斯·赫伯特·莱托勒。,21.5万,13.7万,21.5万,8340,"['人文历史档案馆', '知识', '人文历史', '人文', '知识', '历史', '泰坦尼克号', '英国', '敦刻尔克', '世界史', '航海', '狠人']",2024-09-10 11:00:00
探秘中国武器玩家的军火库！场面太震撼！都有什么枪？,老李船长,https://www.bilibili.com/video/BV1BmpEeAENT,172.9万,5604,点赞到15W！让马哥带我体验国产全自动！兄弟们！记得点啊！,9.1万,1.9万,9.1万,4096,"['我们的小城游记', '生活', '出行', '生活', '4K', '高能', '评测', '搞笑', '三角洲行动', '户外', '出行', '探店']",2024-09-10 17:05:00
“订婚之喜，爱意公之于众”,啊狼和瑞娅,https://www.bilibili.com/video/BV1iN4ne5EbC,67.4万,2039,Not Found,16.2万,5.0万,16.2万,597,"['跨文化研究小会', '生活', '日常', '生活记录', '情感', '爱情', '家庭', '婚姻', '跨国情侣', '跨文化研究小会4.0']",2024-09-12 17:52:56
全网首发！1级无伤二郎神，全招式处理！（无根器禁神通丹药法宝）【黑神话：悟空】,-撩人心-,https://www.bilibili.com/video/BV1Pm46e7EY8,66.7万,3056,"不知道这场80小时努力浓缩成的史诗级战斗可否让各位天命人给出手里宝贵的三连？满城百姓，感谢不尽！
目前总游戏时长120小时，单二郎神就花费了80小时，还在一周目。其实在50小时就已经几乎摸透他所有招式了，但是三阶段的变招实在太多，经常反应不过来中招。
装备详情跳转8：25，武器带了金箍棒。如果用初始武器，那全片可能会超过30分钟，对我或者对观众来说应该都是一种折磨。套装是凡品大圣套，无任何伤害方面的增益，纯粹为了好看。虽然人物90级，但是把点洗完了，相当于就是1级的状态，生命耐力那些仙丹我也已经全部回炉，野外捡的仙丹没法回炉，所以耐力条会比真正的1级状态稍微长一点，同时我也带了加耐力的珍玩。根器也全部洗掉了，其中有一个加闪避无敌帧的根器可以说是质变，没了这个根器之后，很多本来能翻滚躲掉的招式都不能躲了，无敌帧变短了，导致我必须去蹭闪身，或者是尝试新的处理方法，极大增加了学习成本。
视频封面来自",5.7万,4.6万,5.7万,8679,"['黑神话天命人来也', '游戏', '单机游戏', '杨戬', '游戏', '单机游戏', '二郎神', '无伤', '国产游戏', '黑神话悟空', '1级', '二郎显圣真君', '《黑神话：悟空》8.20 直面天命']",2024-09-11 23:42:33
我奶酪呢！！！！！！！！,高斯Goh,https://www.bilibili.com/video/BV1Z2421Z7ha,198.7万,1.1万,"希望你喜欢这次的视频，这次玩的游戏是《奶酪大盗》。
接下来我来详细介绍一下规则。 
游戏步骤： 1、分发身份牌并摇骰子，秘密查看身份及骰子点数。 
2、天黑请闭眼，主持人叫到点数时，对应点数的玩家睁眼并行动。 
如果一个嗜睡老鼠独自醒来，可以秘密地查看任意一名玩家的骰子。 
如果不止一个人醒来，则不能查看骰子。 
无论多少人睁眼，大盗醒来都一定要偷走奶酪。 
3、天亮前，所有人伸出手，大盗睁眼选择共犯，共犯睁眼与大盗确认。 
4、公开讨论后，投票指认奶酪大盗。 
嗜睡老鼠胜利条件：正确指认奶酪大盗 
大盗及共犯胜利条件：嗜睡老鼠或共犯被指认。 
也就是说，共犯需要充当挡箭牌。
记得三连！！！！！",17.1万,8.0万,17.1万,4026,"['桌游棋牌游戏推荐', '游戏', '桌游棋牌', '生活', '日常', '推理', '搞笑', '聚会', '沙雕', '整活', '小潮team', '奶酪大盗']",2024-09-10 12:00:00
【龙族：卡塞尔之门】《最后的旅行》剧情手书｜ 公测主题曲,哈米伦的弄笛者,https://www.bilibili.com/video/BV1JE4hejE7N,72.8万,782,"最后的旅行
“我们都是小怪兽，有一天会被正义的奥特曼杀死。”
“如果世界不喜欢你，那它就是我的敌人了。”
——在那天，红发的女孩笑着和你告别。

 STAFF表（排名不分先后）
主策划：哈米伦的弄笛者
主笔：大写的TY
文案：吱咕咕咕咕
分镜：阿律
画师：酱油；陈_藏藏器；夏至君Xzone；浅川未白；浅海ACG；板烧章鱼球；永乐界；二扯领证喽；砜砜在肝了；N-杯水；枸杞；沉默；高广月；辉羽；之画；没错儿
后期：沭沐rle
封面：佑木，李缘忻
音乐部分
作词：陌离【浮声未歇】
作曲：164
演唱：鹿火Cavy
编曲：忒格路
制作人：刘鑫磊",3.5万,1.9万,3.5万,1.4万,"['《龙族：卡塞尔之门》龙蛋狂欢节', '动画', '同人·手书', '手书', '绘梨衣', '手机游戏', '龙族', '同人', '龙族卡塞尔之门', '满眼都是你的白月光', '被龙族记忆硬控30s', '最后的旅行']",2024-09-11 12:00:00
【崩坏3周年放映厅】女王：只有我找不到工作怎么想都不是我的错！！！,粥粥的奇妙冒险,https://www.bilibili.com/video/BV1ADHXeKEzT,43.1万,511,"真是美味（舔）~

分镜/编剧:
粥粥的奇妙冒险
作画：
粥粥的奇妙冒险
渐变映畫 便宜糖

后期：
粥粥的奇妙冒险
欧洲的玖菜

配音：
女王：星狸
芽衣：星狸
大鸭鸭：菌可
爱衣：阿童木
舰长：范小飞
识宝：阿童木
符华：星狸",4.9万,1.3万,4.9万,6011,"['崩坏3周年环游记', '动画', '同人·手书', '女王', '搞笑', '手机游戏', '崩坏3', '泉之精灵', '崩坏3生日会', '崩坏3八周年', '崩坏3周年放映厅', '芽衣']",2024-09-12 12:00:00
一口气了解迪拜经济和它奢华表面的背后...,小Lin说,https://www.bilibili.com/video/BV1ad4EeaE7a,94.7万,7229,"朋友们，咱们今天来一口气了解迪拜经济，它怎么能依靠非常少量的石油，做到中东土豪中最""壕""的存在？
这背后的代价又是什么？",4.8万,1.9万,4.8万,3904,"['青年用「财」图鉴', '知识', '财经商业', '财经', '迪拜', '全球经济', '沙特', '中东', '青年用「财」图鉴4.0']",2024-09-12 12:20:01
《金 广 发 当 面 回 收》,正宗转转APP,https://www.bilibili.com/video/BV1my4hetEPf,86.8万,1426,"当面有什么不懂的？我不明白
话要当面说
日子要当面过
帮人系鞋带也得当面系
鸡腿要当面现炸，要不它不好吃明白吗
手机当然也要当！面！回！收！",9.6万,4034,9.6万,4917,"['生活', '日常', '华为', '数码', '苹果', '手机', '金广发', '转转官方验', '转转回收季', '转转', 'iPhone']",2024-09-11 10:30:00
『诡异警示牌』附近有巨鸟食人？日本森林真的存在巨型鸟类吗?,L探员,https://www.bilibili.com/video/BV1ys4zeVEea,193.9万,234,Not Found,5332,700,5332,61,"['人文历史档案馆', '知识', '人文历史', '趣闻', '冷知识', '都市传说', '奇闻', '未解之谜', '警示牌', '梦核']",2024-09-11 18:09:11
警察丢了枪，后果有多严重，三颗子弹，就是六条人命！,猛虎电影,https://www.bilibili.com/video/BV1wop7eMEja,355.3万,3087,国产悬疑电影《寻枪》,7.1万,2216,7.1万,779,"['影视', '影视杂谈', '影视剪辑', '电影剪辑', '国产电影', '电影解说', '悬疑电影', 'B站好片有奖种草']",2024-09-09 21:03:30
【曹璐】我们一起做到了 时隔8年打歌舞台,曹璐LuLu,https://www.bilibili.com/video/BV1Vk4ZeyEJB,26.7万,1184,-,6.4万,6.3万,6.4万,1832,"['Fiestar回归', '音乐', '音乐现场', '曹璐', '音乐银行', '音乐现场', '舞台', '可怜', '打歌舞台', 'Fiestar可怜二创']",2024-09-13 18:13:58
【楚门的世界】“假如某天见不到你”,帕克剪,https://www.bilibili.com/video/BV1NQp7erEbN,59.6万,199,祝你们 早安 午安 晚安,17.5万,1.0万,17.5万,1189,"['影视神仙剪刀手', '影视', '影视剪辑', '经典电影', '金凯瑞', '楚门的世界', '影视剪辑', '电影', '神仙剪刀手5.0', '高分电影']",2024-09-09 21:18:09
手机后盖磁吸小镜子,喜欢拍照的皮皮,https://www.bilibili.com/video/BV1K74qe3Er6,139.8万,71,-,7.7万,2817,7.7万,4149,"['生活这件小事', '生活', '日常', '必剪创作', '生活万花筒14.0-给生活的planB']",2024-09-11 14:08:11
