标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
哈里斯首战大改人设，川皇魅力失灵，民主党动员能力好起来了？,小王Albert,https://www.bilibili.com/video/BV14t4nebErq,78.2万,2903,一键三连推荐给更多朋友！,4.7万,1.1万,4.7万,1218,"['2024美国大选', '知识', '人文历史', '美国', '总统', '选举', '电视辩论', '特朗普', '哈里斯', '投票', '美国总统大选', '请回答这个时代3.0']",2024-09-12 17:07:32
开学第一天就被室友冷暴力…,CCCmlng,https://www.bilibili.com/video/BV1kB4pe8EGt,88.8万,168,-,13.5万,939,13.5万,2315,"['B站小剧场', '影视', '小剧场', '大学', '搞笑', '大学生', 'B站剧情创作人2.0']",2024-09-12 18:48:37
最新世界纪录解说 国人玩家再创新高 50分58秒速通黑神话悟空,隔壁老王_QAQ,https://www.bilibili.com/video/BV1FipxeRECe,121.2万,1.0万,"原视频：BV18nHdepEUFBGM：王进打高俅—赵季平
            Night Running—Chris Doerksen
            Trance Music for Racing Game—Bobby Cole
            Shooting Stars—Bag Raiders
            云宫迅音—许镜清",3.7万,9576,3.7万,1.2万,"['黑神话天命人来也', '游戏', '单机游戏', '国人', '孙悟空', '世界纪录', '解说', '黑神话悟空', '黑神话', '速通', '邪道', 'bug', '《黑神话：悟空》8.20 直面天命']",2024-09-10 14:05:00
军迷狂喜！漠叔做二手生意！,大漠叔叔,https://www.bilibili.com/video/BV1H6HdezETb,87.8万,4033,-,5.9万,6559,5.9万,566,"['生活', '搞笑', '苹果', '娱乐', '日本', '漠叔', '回收季', '海南', '二手', '转转', '闲置', 'iPhone16']",2024-09-11 12:00:00
做了个巨型3米大蛋糕！为98个山区孩子过集体生日,小岗同学,https://www.bilibili.com/video/BV1iu4nerEuG,44.8万,693,"有些星光很弱，需要吹灭蜡烛才能看到；星星的愿望很多，需要一个超级蛋糕才能实现。这个中秋，我来到云南德宏边境小学当插班生，得知很多孩子没过过生日，我为他们制作了巨型3米大蛋糕为98个山区孩子过集体生日！
走出大山的路上，有风急雨骤，有孤夜寂寥
不要怕，明月当头，星辰相伴
一定能走向团圆和美满！",6.2万,2.8万,6.2万,410,"['给整活儿加点艺术', '生活', '搞笑', '行为艺术', '公益', '正能量', '艺术改变乡村', '小岗同学', '搞笑研究所2024 6.0', '留守儿童', '乡村', '生日蛋糕', '云南山区']",2024-09-12 18:00:24
不重逢（2024火星演唱会现场版）-华晨宇,华晨宇工作室,https://www.bilibili.com/video/BV1Ss4peuEzV,20.9万,3778,"在无边的旷野，我们自由地出发。去吹过风，也淋过雨[微风]追逐了炙热的阳光，也踏足了温暖的大地。
人生旅途，你我皆是行者，探索从来不分对错。成长就是跟过去的自己不断告别的过程。
但不管怎么变，灵魂不会变！在一次次的自我更迭中，蓄满能量，去遇见未知的美好。
华晨宇《不重逢》·2024火星演唱会Live版官摄正式上线！",2.7万,3.7万,2.7万,6382,"['华晨宇火星巡回日记', '音乐', '音乐现场', '华晨宇', '演唱会', '火星演唱会', '粉丝饭拍大赛3.0']",2024-09-12 19:45:10
芬兰表妹一家第一次在云南体验少数民族服装惊艳全场！被炸乳扇树皮炒蛋惊掉下巴！野生菌火锅傣族孔雀宴吃到不可自拔！,雨琪在芬兰,https://www.bilibili.com/video/BV1VX4neGE3K,61.8万,7925,"芬兰表妹一家第一次来云南体验白族民族妆造，全员民族服装惊艳出场简直震惊四座！表妹惊呼简直太特别啦！
云南美食真的吃都吃不完，傣族孔雀宴手抓饭上桌惊呆一群人！香茅烤鱼烤鸡简直香爆炸！获得一片好评！野生菌火锅鲜掉眉毛，超多菌子犹如走进知识盲区，认都认不出来？！炸乳扇薄荷炸牛干巴树皮炒鸡蛋，每道菜都是从没见过吃过的！完全新奇的味觉体验，表妹疯狂爱上牛干巴！还体验了白族扎染，大家都收获自己扎染的衣服，真的体验感满满！这期内容超级丰富，希望大家看的开心！爱你们！！！

*本视频含合作【神气小鹿】谢谢大家的支持，我们才有合作的机会！",4.9万,2.6万,4.9万,525,"['秋收九月·美食团圆会', '美食', '美食记录', '外国人中国行', '芬兰家人中国行', '云南美食', '回国', '傣族', '白族扎染', '菌汤火锅', '孔雀宴', '外国人吃中国美食', '秋日美食吃喝大赏']",2024-09-12 17:00:00
“踏上取经路，比抵达灵山更重要”,阿铭铭丶,https://www.bilibili.com/video/BV14D4YeAEa3,50.4万,218,Not Found,12.9万,3.0万,12.9万,3586,"['黑神话天命人来也', '游戏', '单机游戏', '正能量', '游戏杂谈', '励志', '直播录像', '黑神话悟空', '残疾人', '用嘴', '卡点', '《黑神话：悟空》8.20 直面天命']",2024-09-10 21:33:31
尖叫白鲸？错误科普？锐评北京海洋馆海水篇！,爱养鱼的卓林,https://www.bilibili.com/video/BV1rQpse9E6F,105.7万,1070,北京海洋馆海水篇，两头白鲸素材来源：,3.0万,6392,3.0万,872,"['动物观察局', '动物圈', '动物综合', '水族馆', '企鹅', '白鲸', '动物保护', '北京海洋馆', '毛孩子放风计划 亚宠季']",2024-09-10 17:30:00
原本没事的 这可真是你们自找的了,星有野,https://www.bilibili.com/video/BV1ifppe3E4c,143.4万,1757,期待已久的鸡哥战斗场面来了！时隔四年鸡哥地铁神曲再度来袭！,15.0万,1.9万,15.0万,1951,"['动画', '同人·手书', '动画短片', '原创动画', '搞笑', '原创', '星有野', '星有野鸡哥', '热血', '抽象', '正义执行', '绝区零']",2024-09-10 11:26:38
国产动画：你见过我的全盛时期吗？,进击的金厂长,https://www.bilibili.com/video/BV1iF4zehEfS,41.1万,3169,请把你最喜欢的国产动画发在评论区，康康哪部动画最受欢迎！！！,4.9万,2.2万,4.9万,827,"['原创搞笑剧情', '生活', '搞笑', '短片', '动画', '搞笑', '国漫', 'BILIBILI金电视奖']",2024-09-11 19:23:04
宗门底蕴,阿瘫呀,https://www.bilibili.com/video/BV12m4JedEjX,76.2万,187,Not Found,12.5万,507,12.5万,180,"['动画', 'MAD·AMV', '原创动画']",2024-09-12 17:31:23
【互动视频】当丧尸遍布全城！你！能否活着离开这座死亡之城？！,末世云夜,https://www.bilibili.com/video/BV1g5pqeBEXP,272.9万,2.3万,"来迟了！来迟了！
先跟大家说声抱歉！让大家久等了
本期陆陆续续做了大半年，总共制作了将近一百个视频以及上千张图片
从剧本编写到视频制作皆由个人独立完成创作
剧本更是我做互动视频以来写的量最大最头疼的一次...
好吧...其实主要也是中途修改了几次剧本，再加上白天要上班，所以就一直没能制作下去...
那么话不多说，该视频为互动类视频
包括be结局在内大概有30个来个结局，两条主线结局，一条隐藏结局可供大家探索，希望大家玩的开心
[故事介绍：我从昏迷中苏醒，身体上传来说不清的异样感，我这是怎么了？整个世界安静的有些可怕，直到我离开房间遇到了尸变的室友，我才意识到，那过去和平的日常，也许再也回不去了]
制作不易，喜欢的朋友可以三连支持一下
您的支持是我做视频的最大动力！！！！",9.1万,7.9万,9.1万,2.4万,"['游戏', '单机游戏', '互动视频', '娱乐', '僵尸', '生化危机', '生存', '丧尸', '独立游戏', '自制', '互动游戏', '末世']",2024-09-09 03:16:01
杰克:奥特飓风！,辻言toki,https://www.bilibili.com/video/BV1kj4he2ENH,101.3万,125,-,12.0万,832,12.0万,5895,"['你最喜欢的特摄', '动画', '特摄', '杰顿', '特摄', '搞笑', '奥特曼', '杰克奥特曼']",2024-09-10 19:31:54
不同民族的新娘婚服大展示，每一套婚服都美到尖叫！,李如儒也是李蠕蠕,https://www.bilibili.com/video/BV1s24BegE5P,77.7万,985,-,11.1万,5638,11.1万,625,"['影视', '小剧场', '汉服', '中国风', '婚礼', '民族']",2024-09-11 18:54:18
“紧  跟  时  事”,旎秋秋秋,https://www.bilibili.com/video/BV1bX4qe7EyB,65.9万,94,星铁又玩梗,11.3万,721,11.3万,9558,"['崩坏：星穹铁道创作者激励计划', '游戏', '单机游戏', '国足', '崩坏：星穹铁道', '崩坏星穹铁道', '崩坏星穹铁道飞霄', '崩坏星穹铁道2.5创作者激励计划']",2024-09-11 16:20:00
给新来的军爷上一课..,自律的悍匪,https://www.bilibili.com/video/BV1Zd4BeAEdA,97.1万,207,-,11.8万,600,11.8万,448,"['健身整花活儿', '运动', '健身', '街舞', '健身', '军爷', '巴西战舞', '新生', '空翻', '自律', '全民暑期健身挑战']",2024-09-11 18:41:59
和高中好朋友一起上大学到底有多爽,七颗猩猩QKXX,https://www.bilibili.com/video/BV1Mj4zeSE5L,70.8万,417,-,8.5万,1601,8.5万,2244,"['原创搞笑剧情', '生活', '搞笑', '生活记录', '校园', '大学生活', '高中', 'BILIBILI金电视奖']",2024-09-11 17:27:11
