我老了，我也不懂
我都不敢想象这有多幸福
月经贫困
印度变装将伴随他一生
每一个好朋友都是陌生人处成的
awaa
哈哈哈哈
我曾真的这样无比想象过
复古？
短视频说出了我的心声，我不敢想象我和我高中好朋友在一起上大学我会多么开朗
趙管家！！！
我我也有过台球ktv网吧嗨到早上吃早饭，现在扛不住了
还一直保持剑眉，细节
眉毛太搞笑啦
幸运和高中朋友一起上了同一所大学
太真实了
娇娇 古德拜 王志猩 顾景深 徐管家  强子
哈哈哈哈哈哈
这里有赵管家！
怎么感觉王妈瘦了好多，配上这高高的个子真好看。
尬
到大学真的很想以前的同学，还好还交到了新朋友
《挺好的呀》好真实
给点反应啊同学们(
这是故意把标签穿外面的吗
这期主打一个真实且尴尬
2000+的人正在观看！！！
妈呀跑去吃早饭太真实了
我这替人尴尬的毛病又犯了
娇娇好美
我看不懂
诶，别急着共情，你没有这么多朋友
小戴去的！我姓戴！
52分钟
要素察觉
你剑眉呢
你眉毛呢
王妈好高
要素警觉！！！！
蛋黄酥？？？
最适合大学新生的一集
你倒是先把其他的更完呀，又开新坑，你不怕肝没呀？
战略性起舞  缓解一下尴尬
《舰眉》
尴尬只能是一个人的  多一个都不行
真实
仔细看！这是！
我真的有点想哭了，虽然室友们也很好
43分钟前
真实了这个
全明星阵容
出息了！！！！
？
？
？
赵管家:不带我……哼
幻视氧化菊
天胡开局
好热！！！！
这半袖是穿反了吧哈哈
33分钟前
笑死了
给我尬笑了
王妈真高啊
28分钟前
这肯定不是演，这是真实聚餐吧，都有赵医生
我！军训时候唱歌就这样。我学会计的，班里尬得一批
哈哈哈哈哈哈
27分钟！！！
nana好帅
我真的和高中好朋友读一所大学
沙县哈哈哈
啊啊啊啊啊好崩溃
啊啊啊啊就是这样
怎么突然听到我龙的词
初心了
省流：双人舞
许管家，顾总，古德拜都来了
武汉skp
顾总
听说来得早发什么都火
浩荡巡游
省流：六点吃早饭
人从众
顾家兄弟你俩有点暧昧了
哈哈哈哈
19分钟，妈妈呀，我见到个活动啊，哈哈
太应景了吧！！！！！
省流：赵管家闪现
秦新宇你真是火了，后面忘了
这期不好笑啊
顾家的好会扭啊
表扬一个顾总跳最好
哈哈哈哈
好早哈哈
《有点长》
王妈瘦了
早
许管家好妖娆
15分钟前发的视频
《摔跤吧姐妹》
新系列！
大战一触即发
哈哈哈哈哈哈哈哈
有个百万直拍↓
太真实了害，大学是这样的
那就找好朋友抢吧
2000多人
我大学最后两年就这样，被冷暴力
一个都不认识…i人已经要尴尬死了
14分钟前呢
全员jpg
比孙悟空画的圈还好使
这一套好美啊
优先丧失大学四年择偶权
哈哈哈
不敢想象这会有多快乐
哈哈 娇娇第一下跳反了
wc好尴尬
猩的这条裙子挺好看的。
怪不得以前是高中同学呢，要不然大学几乎不接触异性（悲）
赵管家闪现
不是你俩啥时候的事啊
双顾磕到了
顾总好腰
为啥强子和小宝一个宿舍
猩强要一辈子当好朋友！！！
直接上手抢哈哈
王子小陈你俩啊啊啊啊啊
被带牙的传染啦
省流:这期没有赵管家
很好，慕了
就像班会讲美羊羊梗的某人
这里值得一个广告位哈哈
@秦新宇
真的好羡慕这样的友谊啊
ai介入画面
地表最强舞团
太真实了
我遇到半生不熟的就会死死盯着手机
通常这会去吃早饭是因为宿舍还进不去
《Merry Christmas》
好朋友就是直言不讳
啊啊啊啊这一幕好美好啊王妈宇宙大家都在
一个人在宿舍还是爽的
分贝爆表组合
靠我宿舍现在就这样
死亡寂静……我可太懂了
3
直言不讳
学会了这招
《气宇轩昂》的剑眉
3分钟，我出息了
窒息了 经历过
来的最早的一次
这个剑眉难道要持续一整集吗
我人缘
卧槽！最早的一次，两分钟前！
一眼过去跳的最好的那个就是顾总
室友不好借，死党直接拿来主义
想象一下就很美
悬疑の小曲
我们寝室都在群里说话。。
太早了
点了，我们宿舍真这样
好早
求更新友情公寓啊！
已经开始头皮发麻了
