这还真演过刘邦
李密:坏了，我成替身了
亚当斯密：我…我来晚了
李密一直没有忠于自己的铁杆部队，或者说攒不起来，在一次次战斗中消耗光了
高欢：还有高手
《秀才遇上兵》
李密该叫李渊（doge）
那时候洛阳都被消耗的没啥人了，也能比
李神通：没想到吧，秦王的教在我这比你的敕管用。李世勣：没想到吧，瓦岗还没来得及投降的人全被我推荐给李世民了
跟李密最铁的应该是王伯当吧
人没了可以再生，荣华富贵没了可就真的难了
所以这就是农民军多败的根本原因
前面的我也是浚县人
尉迟敬德:李神通！你给我等着！
肯定后悔啊，但当时也没办法啊
全网第二尊重诸葛瞻的up主
湖北湖南人跟你急喔
王伯当呢？伯当去哪了？
李世民：我身上有李虎、独孤信、宇文泰的DNA
白冰真好看
太宗确实是天选之子
出来捡桃子的就别踩了呵
不好说徐世绩是忠心还是机灵
不行，我姓杨。
应该先入关拿到皇帝位后出去打
太宗！太宗！
破阵！破阵！
这么一看二凤还真是个仁义君王
李密真的是厚道人，他手底下人不是
安西猛将郭
不要啥都赖队友，就是李密御下无术搞得自己离心离德，不然你一个月几百块要求别人给你卖命？
这就是吃鸡模式拿圈中心的资源肥点真不一定比圈边运营更能吃鸡。
笑死
先登！
哈哈哈哈二凤就是热血沸腾龙傲天都比不了
对洛河发誓
抽过
项羽在巨鹿能把秦军主力干挺了，李密是被隋军主力干挺了
纯纯被队友拖累
九四至尊
没有前面的百余战，哪来这最后的一战定乾坤
但拜李渊所赐，李世民家底厚啊，拿下关中和蜀没没怎么费力气
如果让李密给李二端茶倒酒，他可能就不会那么心理不平衡了（）
那是你没看到他二小子有多猛
李密败在了投胎技术上
没事儿，李神通会送
曹老板得含金量再一次体现，中原四战之地不是一般人能把握的
吃鸡进圈太早被人集火来
应该也不完全是做戏，毕竟君臣一场，而且李密此时对他没有任何威胁
论心眼老朱家差着呢，很多都随朱元璋老婆孩子热炕头的农民思想，表现上就是出了好几个情种
大逝必成
李世民：无所谓，快刀斩乱麻！
李密当不了开国皇帝，但放到王朝中期绝对是个顶级官僚
欲擒故纵啊
人家来投降你，你让人家给你端茶倒酒，你还好意思说自己仁义？
《仁至义尽》
英国公也够意思了，几任领导都还是尽忠了
但如果李密没投降关中，那些人大概率不会听他调遣
秦爷真够意思，后面王伯当也死忠李密，李密绝对有点东西的
先登
没李渊，李世民不知道得多奋斗多久
李密才是越看越像这打天下的人
但如果李密不投关中，徐世绩搞不好就把李密卖给王世充了
能对标项羽，李密已经很牛逼了
可惜啊，李密和王伯当，要不然就是大魏了
就是失败版刘秀，成了又是一个东汉，而且谶语开始时不及宗亲好使
剥夺部曲可以理解，但待遇得好点吧
李密：我倒是名将之后，宗亲班子和子弟兵你给啊？
项羽有江东子弟、项氏诸将，刘邦有沛县天团，李密还是缺底子
断密涧
这是韩信章法的长寿版亲生刘去病
洛阳堡垒
如果真赢了不在魏武之下，就是缺了本家将领
丸辣
就像美军在欧、苏军在亚，不怕下场晚就怕实力差
项羽成败都在天赋，世不奇出，但青春版都复刻不了
如果不是李密而是杨密
宇文化及都能飘，就差一点的李密飘也正常
请战的大概率是不愿意在野外吃苦了想赶紧进城享乐
李密此时很可能是这种状态：累了，赶紧的，毁灭吧
或跃或在渊
速更！！！
也可能是士兵嫌麻烦不愿意修工事，李密怕哗变没敢强令
也可能指挥不动部曲了，士兵不愿意修工事，毕竟土工作业可不轻松
俺广西李也一样
关羽、刘封、糜芳？
广东陇西李氏后人拜见同宗小吏
不怕天命李转移？
这句话够有种！到底还是有最后的一点血性！
国家矛盾变成了阶级矛盾
你的阶级属性是啥
←不如直接改名李世民称秦王
不是无险，是地形问题不够壮大到挺这种乱世，不然能守两年？
秦王：无所谓，我会出手
↑形象的
不败除非保持到底，不然反而会成为负担
就算掌管洛阳的不是王世充，李密现在元气大伤，人家一样可以变卦
李密之前表现也是军神级别，张须陀都被他干掉了
两百？
损耗这么大，洛阳那边就可以变卦了
这也是徐世绩给自己抬价呢
到底是乱世中两年没饿过肚子的兵
封渤海郡公
哈哈哈哈哈
欠饷？搁大宋边关必须得阵前放赏了，毕竟皇家和文士大夫太黑
大型悬疑剧：英国公改名之谜
不枉活一世了
王世充这么拼干啥我搞不懂。。。
这也太高产了吧
元允和王卓？
李世民真的得感谢他爹，而且李唐运气是真的不错
刘国能可以也本该投明，李自成就不能
陈友谅：同感
李密：我称王也不早啊
王伯当错保了不义的王
知道，香烟牌子doge
百花齐放百家争鸣
很正常，士兵不是绝对铁板一块，总体还是要混口饭，李渊那边有隋家底真的爽
徐世绩又跑了···
李密这么干也不对呀，攻破桃林这不是明着反叛吗
突然奎爷
已经收到
说好了发钱拖了两年，打杖拿命换的。别说什么以后，明天就会战死你告诉后天发钱有什么用。
李渊跟他儿子的心胸差太多了。
宗教一直是统一思想的好工具
徐懋功
霸王独一档的
这时全天下都没想到天命李是个刚刚及冠的小伙子
二凤太猛了
刘渊，慕容垂直呼内行
说的确实犀利，你打了那么多场也没见你拿下洛阳
包工头李密因为工程款不足屡屡拖欠工资
王气已散
他到最后都相信自己是天命之选
李密的计划中的战略布局都被李渊达成了，而他不是不想做，而是被瓦岗寨弟兄们的心愿困住不能做
赏金8连败没收菜
王伯当也是个好兄弟啊，可惜了
替身是个好东西
要学桃园三结义
李渊：我为我二儿子所迫
匹夫速更
女婿杀手
恭喜李密活了五集。（严格来讲六集）
洛阳城位置已经变了
王伯当愚忠啊可惜了
卧槽，太6了
《；‘’
秦王：王世充是吧，窦建德是吧
四渡赤水
真厉害
我也是，李世民简直是神级
就算拿了洛阳，也晚了，部队的基层建筑出了问题
但李密的胜利其实都没落在实处
杨广：真不熟
先登
现在除了粮食他已经什么都给不了士兵了
越看越像明智光秀
飞龙骑脸 利见大人～
李渊：哎？我啥也没干怎么就开始捡漏了？
其实李密杀翟让也是下面人离心的原因之一
天命不是李渊 是李二
霸王2字反过来读是啥
有没有可能不是李密进了洛阳也没能力打过二凤，而是李密也没有进洛阳的能力，他感觉就差一口气，所以后来后悔了，但他被耗死是他看不长也看不透问题本质
3板斧是隋唐演义杜撰的，程咬金的武器是马朔 冲锋用的
刘邦是魏国人，没看小吏之前的视频和史书嘛
少个儿子李世民
楚人有三苗血统和习俗，特信巫术跳大绳什么的
楚人有三苗血统 好巫术
楚人是三苗后代
9.13今天刚下的单
李密：坏了！我成替身了！
那窦建德也很厉害啊
文彦博
这俩都挺能演啊
你决定拿整个家㡳赌的时候，就离输不远
注意啊，此时用的是金属货币并非纸币，不能随便印的
渤海王勤政，赏
他跟李渊之间就差一个儿子
首战即决战，一战领盒饭
罗艺：看人真准
人家生了好儿子
建成：我呢
占着黎阳仓的李密，后来穷的就只剩粮了
备不住就给三公了，太尉司空随便选
啊老八宵夜
徐世绩：爷要改姓李咯
记住这个盛偃师
黑我？？
时代不一样啊，项羽不是白手起家，隋朝的洛阳不是秦末的洛阳能比的
是的
可惜了窦建德
我倒是没看出李世济多仗义，他也挺值得探究的
白胡子：当我儿子吧
杨广集天下之力打造的洛阳是刘邦那时能比的？
也难，他没有根本之军
罗艺被李世民坑过，不让不会是铁杆太子党
或跃在渊 双龙取水 鱼跃于渊 时乘六龙 密云不雨 损则有孚 龙战于野 履霜冰至 羝羊触藩 神龙摆尾
降龙十八掌：亢龙有悔 飞龙在天 见龙在田 鸿渐于陆 潜龙勿用 突如其来 利涉大川 震惊百里
还真是
南無阿彌陀佛
终究不是李密自己的子弟兵
开始对线
粮食对食不果腹的平民比金子还重要，但对守着大粮仓的草头王以及其麾下士兵就相对一般了
《欧阳修》
求BGM
珍惜粮食
大胡子和小胡子打架，丘吉尔最高兴
这集这么短？不行啦？
膝盖跪不下去了
让新降的兵去当炮灰，土匪殿后，一旦出点差错，就是新兵阵前倒戈，土匪望风而逃
这个评价太到位了，真是项羽早推平洛阳了
已到货，谢谢。
过年了
排队！！！
徐世勣 李世勣 李勣
徐茂公：嘿嘿 那也保不住单雄信啊
全员内鬼李密怎么玩？巅峰赛一打九啊
IPO失败
隋末耐射王
唏嘘
欲擒故纵啊
BGM是什么？
李密手下都光明正大卖粮食给王世充，李密根本不想卖，手下土匪一帮出生坑了李密
逼反
荆楚人
郑克爽
骁果军被杨广惯坏了，胃口大的很不好满足的不肯出力的
这不就是中晚唐的河北节度使吗
骁果军都是精锐中的精锐
过瘾啊过瘾！不过更想先看柏壁之战，亲王破阵！
一战擒二王
高欢：不错，有我风范
权力令人陶醉
李渊真的沉得住气，还能很好的统筹各势力
长春
天可汗
出生段达
已三连
已收到书了
说明李密对人的场控不行 说到底是自己实力不够掌控不了关东的地盘
更大的篇幅（指可能会被李世民刷战绩）
李世民也吸收了李密的人才和粮食
至少多活一下
洛阳绞肉机
水龙吟？关大洲的？
罗成？
李世勣还是个忠厚人啊
大喜！大喜！
一战擒双王！！！
李密的家世也不如项羽啊，差太多了
这都快一千年了吧，楚人好巫鬼的习惯还是没改啊
先赞后看！！
历史有最终的胜利者吗？有谁是生前身后皆赢的？
李密拿下洛阳也白搭， 自己能力还是不行，一样干不过二凤
下单了
剪辑老师打到哪了？是不是跟我一样卡一周目虎先锋？
我严重怀疑宇文化及压根没听懂他啥意思
已买，爱看
命去英雄不自由啊
昭昭我唐
8000+
唐之玄甲，汉之虎贲
哎
项羽能打多了，至少有能拿下洛阳
李密干最苦的活，给天命李吸引火力、扫清障碍、争取时间及摘桃
瓦岗寨两年没发军费了，光有粮食不够安抚人心啊
李家父子四人可真是一个个的父慈子孝兄友弟恭啊
当个王公也是蛮好的
悲壮
简直就是官渡之战翻版，可惜刘备是真皇子
高欢：好！此人可信！
椴密涧
这还真是刘邦
李密：丸辣
给了
先登！
李密和宇文化及的战斗怎么感觉就是宋江和方腊战斗似的
家园好看
当真了
猫鼠队！
王世充：称冯个福
all in
抗隋主力李密，抗元主力刘福通
换开府啊，给下属分封啊
我曾经拥有的一切，转眼都飘散如烟，我曾经失落失望，失掉所有方向……
投个币吧
排除权力中心了
去拿回你们自己的东西
横扫千军了
先登！！！
去拿回你们
吾有三罪！
都是命
贺拔胜：在想我的事儿？
曹丞相：不是，跟孙十万操作一样啊
羽之神勇千古无二，李密算个球
底子太薄了
介个就是命
差远了
奎爷的BGM真是燃
广神：看来我还是很有先见之明的
我开完饭了必须马上开瓶啤酒
版本不断更新，数值膨胀了属于是
天策上将
谐音梗扣钱！
你也武川血统?
家底太薄了，能力弥补不了
不敢想象李世民+李密这两组合在一起的威力
该早点打，要么就熬
先登
关键词“军心已散”
输给李世民不亏
各个生肖都是属狐狸的
这
李总
优柔寡断
有理
从这里也能看出李渊稳扎稳打的可贵之处
时也运也
另外，真实的程咬金是用马槊的高手，长柄斧那玩意儿只限于隋唐演义中的程咬金在用
埋伏在此，必擒关羽
一战定乾坤！
没毛病
哈哈哈哈哈哈
这个有可能
然后被二凤一战打崩
王伯当忠义啊
这是隋唐演义，姜武演的程咬金，严宽演的秦琼
宇文成都是虚构人物
已下单
大唐花帅
天然克腹黑
是
对是的
黎阳仓是概念神补给点是吧
"项羽打谁谁崩,和霍去病一样,李密确实比不了"
萧美娘
李密真的可惜啊，命
苻坚，淝水之战
宁学桃园三结义，不学瓦岗一炉香。
你苦两天黄金千两，我呢？苦了10年了，得两铜板，闹呢？
太惨了，倒霉到极点
出生杨广
笑死 赢不了 洛阳哪怕早一点拿下都有了
高欢：这是王世充，别拿他来cue我，我比他强点
李勣是成长型的，不过其实战争有胜有负也挺正常的，包括敌我双方兵力因素
这个人缘啊
王世充说的那话就不能信
这个演的有点过了
王轨：我曾三度背叛。。
可惜资金断裂被爆仓了
遍地是大王 短暂又辉煌
广：全靠我
这是把李密黑了
李渊：天命还是在我
他要是有他能输么
李渊：我和我二儿子姓
控制不住部下被裹挟了
然而项羽荥阳都过不去
完蛋咯
我真的好爱天可汗 太有感染力了
项羽不也打不过荥阳
武力值不够
洛阳 四战之地 自古就没人以此争得天下
王世充缺粮不得不打
人民史观
高王：青出于蓝
单雄信确实该千刀万剐
隋王朝和瓦岗寨集团的矛盾决定了李密不能向洛阳的杨桐称臣，很明显他忽略了这一点
这是引蛇出洞
李“渊”：所以我跃过去没有？
这个时候咬着牙也得顶着，再难受也比断粮好多了
陆浑水库
你（李密）凝望深（李）渊，深渊也在凝望你
实际上是要一个理由
时也命也
这就是资源冗余不足，唉，我也是遇到这个情况了
真够乱的。。。二凤开局也是地狱难度啊。。。
真的6 啊
把自己的嫡系拼光了
天下金银二角都被李唐收下！
2400个心眼儿
和聪明人是能谈的，可惜碰上个傻子
先登
不是刘邦，是刘邦那碗肉羹
书已到
666666666666666
元芳你怎么看
洛阳的劣势是没法和骁果军讲和，因为弑君名义上是不能相容的
之前吃太饱了，现在想搞点银两
公明哥哥
李绩打仗该赢的仗输不了，该输的仗赢不了
王伯当这铠甲真帅
不是厚道，是体面
杠杆拉满了，爆了
宇文化及:我蛮夷也
听的我都想上了
主要是李密被夹在中间了
驴哥强
今天洛阳还有王世充建立的周公庙
霸王才是天皇巨星
没错就是白冰
何不投秦王，真是可惜了
莫学瓦岗一炉香啊
高欢看见直呼内行
好想配一碗螺蛳粉看呀
？
“本来就该这样”，你两万人新降，那跑对面去再打一遍呗，多两万人也是撒，军师们太聪明捏
李密不早乾卦
没办法发新币吗？
玩三国志没钱了 武将忠诚没了
对的，让新降的败兵去当炮灰，老兄弟督战，太聪明了
李密已经没有赌本了。。。。没机会了。。
秦琼 程咬金 徐世绩
赝品是个好东西
直接一战擒双王！
一点战略纵深都没有？
宇文化及压根没听懂李密说了什么。
门神的战力
罗成的老爸
这就是背叛了自己阶级，没好下场。刘备也是这样。反观曹操控制的就很好
为什么叫李渊
这个更新速度是真实的么？
他不仅仅是项羽他还是刘邦还是文帝武帝！而且有这四个人的本事还更强
我就湖北人，楚地是挺信这些的
王世充，陛下叫你去开会
但也算大丈夫轰轰烈烈走一遭了，也算乱世英雄了
就差一口气
骁果军要解决粮食问题
班底没有平衡让
先赞后看养成习惯
金角银边草肚皮
当前王导也是这么对付周玘的，后者因愤而终
建成：我猜你的枪里没有子弹！
独孤家：我生的
你是最能代表武川的，除了李世民。。
王导、周玘，当年也是这种套路
渊师傅二凤最大的HR和教师
樊哙市井徒，萧何刀笔吏。一朝时运会，千古传名谥。寄言世上雄，虚生真可愧。—淮阳感怀 唐·李密
那就没有了李密打比方王伯当冒火光。。。为了这一段唱蒲山公还是不要早投唐的好
犄角之势
您的好友【李世民】【玄甲军】正在登录中
奸臣已经自己跳出来了
李密 为王先驱
书已到手
比李二还是差太远了
坚定守住就有办法
李密没有自己的基本盘
结果徐世绩是最忠诚的那个
罗成是罗士信
理论不错，实际操作问题很大，像极了我老板不过我老板肯定没李渊的能力
梭哈是一种智慧
马跃来了
李绩，后来二凤把他留给了他的九儿
李世民：我的好兄弟
他面对的那个可能不行，但出去打天下的那个吗，哎
啊？是李勣？
币比点赞多
这一生不亏了
樊哙市井徒，萧何刀笔吏。一朝时运会，千古传名谥。寄言世上雄，虚生真可愧。—
武则天
二郎神没绷住
二凤：谢表叔。窦建德：谢大业帝。二人对视后，“洛阳是老子的！”
霸道不及王道
才冒头是因为up的叙述角度，可以了解一下隋唐演义为什么是以秦叔宝的视角写的
温县人+1
反过来说明天策上将是多么的牛逼
所以又回归关中了
卢俊义
封神演义本质上就是写的隋末唐初李唐得天下。
燃起来了
罗成威武
宇文成都是小说虚构的人物，历史上不存在
什么影舞者
隋末吃鸡大赛
突然这么勤政了，幸福来的太突然
有一说一 项羽打天下 秦除了调来守长城的主力 只能算半个秦了 难的是后面的割据战 李密算是结结实实从野战军打到禁卫军
蚌
李渊要考虑的就多了
先登，最近高产出啊
关键是你的关键（宇文成都）不存在，从秦到唐，你都当演义的听呢
人有冲天之志，非运不能自通。
宋江的梁山算个嘚啊！被一个知府张叔夜给招降了
太伟大了哈耶克
你手下不是有很多能将吗？听裴世基的没错
"大爷有牛逼儿子,你有吗"
想学光武。。
玩脱了
远古龙团输了被人一波
《一块走》
没李世民这富贵也保不住
皇家食堂总经理
可有他在浅水原就不一定会输了
那是宇文成都 虚构的
分兵之后，这兵和谁姓不一定呢
必须三联
天命人出击。
我大嵩县啊
李渊：满足你！
李密也是出于无奈啊
幽云十八骑
这女的是演胡歌版《神话》那个玉漱
细说宇文将军不浪费这事
我仔细一看还真是两只眼睛的二郎神，哈哈哈
李二要不是能力强底子厚 还真难说
终究还是棋差一着
武则天：我觉得还是该改回徐
李密真要进洛阳 他兑现谁的军功更合适更好些？洛阳宫旧隋凭啥放你 这是军功不？手下那各个山头的土匪头子 你军功怎么分？这两拨人你觉得处理很容易 李密有那么细腻和手段 我告你 没有
俺也一样！
这人怎么感觉有点像马保国的感觉
李二:父王 无他 唯势力耳
李神通，李世勣都成了李世民的铁杆
先登
12312Z
本初哥哥！！
朱九四，朱元璋的。。。
因为有粮，能确保士卒底线要求，但还是那句，不患寡而患不均
看见二凤先三连
主要是差了自己的本部势力
后登
法理上来说王世充当时确实算是皇军
先登
也没人对不起李密啊
其实都打残了比之前好打多了，但这残的李密也收不了
九四状态就是朝九晚四
已买
将军走此小道
一个西域胡人能爬到这位置，肯定有能力的
一见李二误终生
避太宗讳
弟？不是把外甥女嫁去了
全猜错了然而
他二儿子多年后也这么看颉利的
戒戒：没拿到手的钱不算钱
李密拿了上天第一手剧本，却始终当不了男主角
秦琼这个隋末第一单挑王不是吹出来的。。。
冲
可能是已经有指挥难度，顺坡下驴找一个相对好的选择
泪目
李艺
哈哈哈哈，真义气啊这帮人
李渊道：无所谓，我儿子会出手。
那是在瞄准
坏了，玄甲军来了
移动断头台
弼马温
先登～，登～登～登～登～
要是项羽估计就不是熬干杨广了，能直接打崩他们
李密：被贼老天气晕
寇少帅偷袭
来了哦
我想武川那帮神仙们如果能听到李世民的战绩也会很高兴的。
黄四狼黄老爷被抓了
骁果军是厉害 但没史盲们吹的那么厉害  吹就一张嘴 反正不用动脑的事 上嘴就完了 懂的自己去了解和对比就知道了 呵呵
明忠暗害了
高欢：还有高手
钓鱼执法
已下单
新版隋唐演义
二凤:你应该见见我身披黑甲的样子。
寇少帅上线
最大的败笔
承诺太多，兑现不利
井陉之战重现
已下单
广神？
李渊有信用，李密无信用
所以，真的可惜
骁果军是全国诸军之最，精锐之极
开大号通天教主
李渊，谢谢杨广二表哥，把宇文化及选出来当头
楚人被黑的最惨的一次
内耗太厉害了
先登
发粮票啊
彩！贺钱万！
项羽抗住了秦军主力，刘邦入关中
越人无国，血鉴轩辕
上市公司现金流断了
利见（通现xian）
已经买了，已经买了
燃起来了
就差这么一口气，打下洛阳了，李密就稳住了
李弼是代人集团的代表人，所以一直跟着宇文泰，不像武川的其他山头柱国
常凯申
内战外行
秦琼那可是真战神
先登
徐世绩“政治觉悟”高于李密，戏做得“圆满”；李密“好傻好天真”
白衣神箭王伯当
其实颉利跳舞也是李渊让跳的
结果徐世绩最忠心
这图看上去洛阳位置太好了
回血了
但讲道理的话李密打的那是家底颇厚的隋啊，而不是王朝末期
宇文智及 不在军中，不然轮不到 化及
"李渊没有这顾虑,老天爷会送给他，他只要拿着就好了。"
而且这场仗的原因还是因为手下有人叛逃了
项羽也失败了
天下心眼一升，老李独占八斗
绝了，这手段
李渊表示。我有个非常牛逼的儿子。请问你有吗？
高欢：你的誓言很润
李勣也不是最终啊，后来他子孙谋反，被剥夺了赐姓，又改为了徐世绩
李渊作为开国皇帝，这些政治手段还是合格
楚人信巫
哈哈哈哈哈
李建成的心腹
怎么不给陕东道大行台？因为李密真的有陕东
使者：？
匹夫速更
匹夫速更
瓦岗众人：招安招安招甚鸟安
属于魂天帝碰上古元了
投了！
单雄信反覆无常，被砍了真不亏
秦琼就此成了隋唐的二爷
罗艺也是个猛男，窦建德碰到他就败，一直拿不下北京。。。
隋末第一猛男秦琼
安西都护，李密送了一堆名将啊
周公：营建洛阳，我指挥的！
落魄凤凰啊
恭迎天策上将！
投了！
天策上将！
好燃
终于到我老家襄平了
李密绝大多数手下最终都投靠了李世民
短视
这就是李密个人性格问题了
不，你输在了你没人会生儿子
拔剑一怒斩河阳
大胆
哪怕没有兵变，就真的能随随便便进洛阳吗？
这么快？？
真艺术啊。
徐世绩是不是就是徐茂公
北魏元家又少了一个人物
体面
仿佛这中原古战场，
买啦
一般俩说一个朝代基本上是因为衰弱而忘 但汉朝并不是，汗是中央统治力有点差 汗末时期的武力太强了
？
已经买了
已买
\]
萧菩萨可没有李世民这个好儿子
老天爷：好嘞（唉，我好像说过）
谋事在人，成事在天。
先登
先登
《你什么冠军》
我听着呢
好的
毕竟一场战役就拿了双王…
李密看来史书上被小看了啊，都没怎么篇幅
二凤，我只需要半场战役
还给人扣一帽子，不如直接大称分金银啊
玄甲军
围点打援
g！
程咬金牛B
王伯当仁义之士
昨天还你死我活呢，今天你让我相亲相爱一家人？
天命啊！
雪豹闭嘴
已收货，看了你的视频才明白为什么李世民弑君了，却还能被称为圣君
资金链断了
怪不得你4天俩更新，学李世民一战擒两王是吧
到底是门神啊
宇文化及手中是大隋最后的精锐骁果军
抢钱！抢粮！抢柠檬！
枪打出头鸟啊
士气都低成这样了，就算打赢王世充也是被李渊收割啊
金蛋差一回合
懂了，马跃！doge
一万多人啊
还没好透
这就完了
既然粮食这么足，后来打李世民时咋还饿死呢
王伯当是真厚道，至死不渝
爷有编制了！
确实啊
还真灭了。。。。
日更
可别小看骁果军的战斗力，而且人家还是要回家
门神！
李渊：我家二小子收拾他跟收拾三孙子似的，我收拾他更没有问题。
不然怎么父慈子孝兄友弟恭
李渊在这点上就牛逼多了
这是白冰吧？
王世充 我也可以姓李 我也可以反隋
++
武则天：给我改回来！
顶级阳谋
真是惊喜，没想到节前还能更新
断密涧
还得是我广神，把你们都算计死了，就心疼大舅哥
李密已经打遍洛阳无敌手了，手底下人看不明白洛阳形式，都是命
来了
关西人？
那元文都是对的啊，双方合并才可能抵抗李渊
项羽：我分封的时候也是这么考虑的
徐茂公啊
宇文成都？？演义里面的好么0.0
先登
项羽出山的时候好歹手下都是自己人，李密一开始就没队伍
英雄啊！不是把这样的豪杰零落成泥碾作尘的考验，怎么可能培育出天策上将啊
悲情英雄啊
隋末是特殊的，各路诸侯不缺粮食不缺兵器盔甲
项羽比李密能打多了
鲤鱼王进化成暴鲤龙
高欢行为
能力还是有的，但天运并不在他这边
三联了，书也买了
先登
结果李神通和李勣全跟李世民了哈哈哈哈
校准中~
已买
唐虽非秦，然亦奋六世之余烈
李密在组建自己的班底，把降兵分给手底下的人会好点，参考刘秀
终于明白二凤的不容易了
何等忠义的汉子 可惜跟错了人
牛逼
你以为这是放虎归山？实际是郑庄公克段于殷要他死。
李世民：巧了，我名里面，也有个“世”字
七杀被杀了
李二呀，几千年一个！
二凤：这叫啥呀，不服？不服带突击队突他就完了。
这是二凤，你在认识上不如他，正常。。。
粮仓再大没有补给就是个空仓啊
李密感觉真心运气不好，宇文化及要是投降估计局势就大大的不同
已买，小孩很爱吃
我跟你们讲，我，楚人，蛮夷也，你们不要不识好歹
头文字弟
大浪淘沙，最后剩下的才是真金
容错太低了
郑庄公故事，腹黑那一套学完了
短了，不过快
这样可以啊，给粮食让他们安心回关中打李渊呗
李密：糟了，我成替身了
李密正式下线。。。
已到货
王世充那边没饭吃，压力只会更大
已经到货，正在阅读
那必须打下升龙城
二凤真是能斗呀！
李勣：忠诚！
做我儿子吧
太体面了
刘邦也是楚国人啊，
李密看手下眼光真不准啊 看低了徐世绩 却看高了宇文化及的降将
为什么非要打宇文化及
监斩狂魔，还是玩人高手！
哪来的宇文成都 看演义看魔怔了啊
最早的三权分立
.
没有统战价值
分一部分粮草给他不行吗
李密该下线了。
寇仲来收宇文化及了
程知节
我国这历史呀，真是太丰富精彩了！！！
币投了 书到了 匹夫速更！
后面还有更离谱的誓言，你禅让给我我过几年还给你
杀翟让就没有然后了
楚人到隋唐还有遗老？？
都是命啊
俺不识字，有毛病
所有和李世民在同一时代的非唐军豪杰都好惨
李密憋爆发了
后登
给加个中秋档
快更新
洛阳就是唐的上海 长安是北京
95加滿
极端派高欢发了个毒誓，保守派王世充觉得高欢过于保守了
“】
1万+同时观看，太厉害了
肯定啊
"归顺于我,封爵赏地。"
老狐狸了，不对，现在是年轻狐狸
我擦 这也行？？
什么渤海王，是燕王！
李唐大饭店总经理
明太宗
三招毙敌本身就很厉害啊
宇文化及：什么意思，开打开打！！！
金刀计不稳是因为大领导不想搞，而李渊此时就是大领导，所以不可能不稳
官民矛盾注定了李密不能称臣，称臣则死
自刎归天！（激昂）
确实不怀疑，基本确定要反
李密啊，你读项羽传的时候没发现李渊就是没早死的项梁吗？
期货
瓦岗一炉香
过桥
条顿骑士团点了个赞
真正的不怀疑是不会说出来的，能说我不怀疑你，一定是早就对你有防范之心了~hhhhhhh
跃过去了，发现菩萨在龙门后面整了口火锅doge
宇文化及：小吏说的，不要按照对手给你的牌走
人家这一家子，爹是低配版刘邦，儿子是高配的项羽，你找谁说理去
上辈子真是刘邦
楚人的战斗力上下限浮动极大 强的时候干爆秦军 弱的时候一打就散
躺平
我蛮夷也
李密一声唯一真爱
他是刘太公，他儿子才是刘邦
天命人李渊
大隋圣殿骑士
"李密自己得位不正,就不够服众的.好的时候大家都跟着,一旦不好内部矛盾突显,李密就压不住了"
先登
Kda不够
李密这典型的既要有要
这也太高产了
我也可以谈，我也可以爱国
笑死了，最后全成了李世民的人
有可能是精锐都打没了
秦王：我一刀2400个
