杨哥说来了有学分拿
嘿，小伙子，好样的，别丢分啊。
交头接耳，一会点什么外卖。南天门有家新开的牛肉火锅，一会去呀
重甲长枪步兵
老板加油呀
你见过搞拆迁的打手谁是体制内的，不都是临时工
当年十八，站如喽啰
你倒是加点钱买第一排啊，1排1，懂？
第二排的！头转来转去看什么？！给我站好！再动加五分钟！
你这也不行啊学学你旁边的，还有上班不能玩手机
巨灵神：前面那个摇头晃脑的，出列！
我不到啊，导员说有学分我就来了
我不知道啊，听说加学分我就过来了
-
"""关于我就一外包工，非得把我抓过来天宫团建的事"""
看过好几个视角了，后面有几位，右边有几位
前面那个大哥好淡定啊
丸辣，站这么前
天命人只有一个，天兵有的是
上班执行绝密任务拍视频，一会儿就让你飞起来
副业の小曲
哦！原来你是十万天兵里的一员
巨灵神：等下得想个法子干了这小兵
重生：开局黑神话天庭当天兵
丸辣
东张西望是吧
这视角像极了军训汇报，笑岔气了
要动就打报告！
还得舔面，笑死
没得组织纪律性哦小兵，等下记得梭边边
前排是不是长得矮被分外前排了
丸辣
站好
只是围剿大圣的十万天兵天将中的一个
鼓大包
要是真一起打现在的设备可能都无法支撑(别骂)
天兵天将是纯属为了凑场子的吧
赶紧跑啊，还瞅啥呢，过会儿要当炮灰了
第二排中间那个，东张西望干什么呢，你这个月绩效没了
小伙立正站好了
原神玩家
我擦，谁还没个副业啊
兼职的小曲
吓我一跳，以为是天兵科技
有时候就想，这神仙做到多大才叫大呢？
东张西望的出列！！！
诺 奖 视 角
哈哈哈
啸天？
去游戏里找找这个东张西望的小兵
好样的，别丢份
天庭盖公章么？
听说有学分我就来了
站前排啊！前排好吃瓜
第一次也是最后一次
第一次出任务就遇到大圣与真君干起来了
兄弟活着回来
动要打报告
第二排那个，不要东张西望！
我是一名保安
我不道啊，老君说有学分我就来了
现在是站票，一会就是坐票了
你单挑喊我们出来站岗干什么你告诉我
五万粉整出了五百万粉的活
东张西望的那个，就是你，出列，协助真君对敌
精彩
天庭应该算是公务员，应该是六险二金
啪，很快啊，币给你了
马上就要飞起来了兄弟
？？
蝼蚁
站完这班岗一会去找仙女唱K去
老大好像占下风的
等会点名帮我答个到
昨天才发的，今天就有350万播放。
天兵何尝不是吗喽呢
群演？
怎么当个群演还东张西望的
完了
再加一分钟！
乱动要!打报告!
重生之我在天庭当马喽
暑假工，没想到是干这个
幸好不是第一排，不然怕2位大神误伤！
出列
怎么办我站第二批，万一打过来怎么办？第一批：我尼玛
这辈子有了
《重生之我在黑神话悟空里面当天兵》
啊？不是！
他明明说只让我去撑场子，不用真上去的呀
天庭新兵
哟，天兵几岁退休啊
小心安全
哈哈哈
？？？你哪头的呀
第一眼我还以为拿了把火麒麟在瞄准
天庭公务员
兄弟，虽然上岸了，但还是要抽空多学习，如果你会分身术，这时候你该在家吃西瓜的！
握草
瑟瑟发抖
好独特的视角
丸辣
前排啊 不简单哦
震撼
力量
什么时候放饭
好美
兄弟快跑，马上飞了
丸辣
万剑归宗！
准备开席
哎哎哎那个兵那个兵！
还招人吗？
易碎品
惨辣！
喂，就说你呢，这么严肃的场合不要左顾右盼
证明天兵没有死
《黑神话.天兵》
哈哈哈哈哈哈哈哈哈好好玩
天兵视角
不许东张西望
那边的同学别玩手机
一个月3000你拼什么命
完辣！
小兵:我打大圣？有社保吗？
上班偷玩手机
好家伙
虾条蟹棒
第一次出任务就当排头兵，看来被领导器重了（bushi
神仙打架啊
2000+
说是给开实习证明，我就来了
6
++
第二排中间那个，别东张西望
汗流浃背了，兄弟
人才
丸辣
哈哈哈哈哈哈哈
“这场架打完，兄弟们就要飞黄腾达啦”
天庭天兵撑场面志愿者
哈哈哈
这剑从这么远的地方飞过来啊
上班第一天 对面是齐天大圣
总兵说加绩效我就来了
真.黑神话马楼
东张西望
老板带实习生接大项目的既视感
喂，那个谁！不要东张西望！
你真在现场啊
？？？
@UP不用五险一金死了之后直接给你从地府拉回来
Ob
好活
四大天王督战
上班摸鱼的一天
那年站在人群中，宛如蝼蚁
就知道火钳刘明
就你冒泡是吧
不准东张西望，你那是立正的姿势吗
交头接耳是吧！
丸辣
修炼那么多年，刚飞升就遇到这场面
人家整整齐齐，你小子搁那东张西望干嘛呢？
当时觉得挺有趣就随手拍了下来
神仙打架
+
中间那个兵 你再动!
丸辣
我老舅说 杨哥这能开实习证明我就来了
眼睛别往别处看！不准东张西望！
丸辣
我就出来打个暑假工，千万别出乱子啊
兄弟，往右看！对对对就这边！是我
没事就站在这一会儿就好了\^O^/
十万天兵对战两千万天命人
完啦
喂！那边那个，举着手机转悠啥呢？再转悠给你收了！听见没？
丸辣
丸辣！
我不到啊 他们说能领鸡蛋我就来了！
不要东张西望啊
第二排东张西望的，说的就是你，你出来，去和猴子过两招
工资待遇怎么样？
副业小曲
你去打孙悟空
省流：要是来个aoe，我等杂兵会咋样？？？
鼓大包
00:19
啊？
记住哥一句劝，别上花果山
不知道啊，杨老师说加创新学分我就来了
哈哈哈
一个月多少钱？包吃住吗
给学分吗
第一次来铲平花果山？
你，第二排东张西望玩手机的那个，出列！
自由视角
真神仙打架
欢喜阶段
天兵：我不到啊，他们说有学分我就来了
青冥为
丸辣
居然是前排
兄弟，以后出这种任务记得申请一个离巨灵神远一点的位置
猜你在找副业小曲
不是，哥们儿，天庭一个月给你开多少钱呐？你敢来这里。
我嘞个军训看教官打架
重生之我在西游当天兵
交不交五险一金
二排那个东张西望的，出列！
那年十八
天庭小伙立正了
丸辣！
重生之我是天兵。
交头接耳，扣一分
第一排一般是老兵，还没资格
好帅！！！！！
精神点，别丢份儿
精彩
好活当赏
天庭中的每个天兵都是下界宗主的心头宝
？？
不许交头接耳！
发朋友圈了没有？
副业的小曲
刚看到一个四大天王视角的
什么打工人视角
学长，做这个多少学分，事多吗
我还以为你要大喊一声天命人然后持枪大杀四方
洒家这辈子值了
还360度环绕声哈哈哈哈
要动打报告！
主角和刚考上体制的你
不是，哥们你……
vip前排观影席
观众视角
上岸啦？
好家伙身高差好多www
丸辣
你可知像我这样的的“神”，天庭至少有十万，而且我只配称为虾兵蟹将
小兵：你以为我真上？几百块钱玩什么命啊
隔壁巨灵神已经在查是哪个小兵上班玩手机了
感觉这是游戏制作的一个好思路，将主角设定为见证大场面的小人物
大叫一声弼马温有惊喜
工作时间不要四处张望
10万对1优势在我
那年18，站着如喽啰
666
头上长摄像头
摸鱼
