3颗子弹6条人命 四舍五入上万人
记煮这个卖粉的
百发百中
丢了还不及时报告，真6
W
阳光灿烂的日子
北京为啥怕枪呢
北京为啥
骗?这东西你报上去起码还能保你，你要是没报，你的枪被别人拿去杀人，你就进去了
职业杀手连枪都搞不到鬼信啊
游戏《心魔》是吧
心魔是吧
既然枪不离身那还喝酒？
牛逼
啊？
啊？什么枪
啊？
wc这个门是鬼片吧
哇哦
狂飙
日产风度
？
看烟斗掉了
离谱
假枪能打成这样？
枪
121枪杀大案电影版？
韩三平三爷！
哈哈哈哈
第五人格
姜文电影才是内地电影天花板
要是一枪打在了来华的外星人身上，那就是星际纠纷
？ ？ ？
记住周小刚，他很重要
记住这个女人，很重要
记住这个老蒋
记住这个人，很重要
安？
就是妻子杀的
安？
？
优势在我（幻视）
常凯申（中正）幻视！
6
嗯，说明要想故事还可以想更多
宁静跑了个龙套
913人
周小
前意识的不识
职业杀手引爆三个
这个说法百步穿杨得三百命
你脸上也没麻子啊
牛
神头鬼脸
玩的这么花
真实的事情是，马身分裂出三个人格，到最后就知道了
枪又不是只有子弹，威慑力才是最恐怖的
韩三平沃日
坐超光速飞船都到外星了
是他媳妇？
那是职业杀手？那不是刺客联盟的刺客嘛
啊？
手握法
一枪七亿
保老婆？
醒醒，你哪来的枪
笑到我了哈哈哈
前面的无语啥呢，闭上嘴好好看不行？不满意张嘴说话，别搁这一言不发
烂片
应该是出幻觉了
没开保险
有枪套不会是掉的 要掉连枪套一起的
次次戳中痛点
啊？？
嗯？是记错还是撒谎了？
安？
神金剧情
逆天握枪
好兄弟
前面那个，这里是杀伤力的问题吗？这是威胁性
宁静就是贵阳人
三级警监
自卫还击战
贵州话
姑姑，比爸爸大叫姑妈，我们这是这样
回想起了阳光灿烂的日子
不是这是什么意识流剧情
没记错的话，枪只能出任务的时候带，平时都在所里关着
河边的错误
寄
你是无双，别装了
意思北京就没枪？
让子弹飞一会儿
强者标配？
高，实在是高！
肃然起敬
不会是下药了吧
我们滴英雄！小哪吒！
假的？
54手枪的51弹药？
手枪枪枪两个人头是吧
懂了，经典梦游
带枪不能喝酒
。。。。
那个时候哪有普及枪的用法啊，老百姓是真的不会用的
《寻枪》
有点虎头蛇尾，怎么戛然而止了
这电影逻辑不行
卧槽
如中国警察真的丢枪了，后果是无法估量且很严重呀~
这么精彩的？是电影吗？
他妻子和他生活了这么多年，早知道他人格分裂了
情为何物
细思极恐
结巴了
我觉得还行，都是有理有据的
这口音应该是贵州的
+++++
秀琴
叫我Charles 好了
保险呢
666666666
美国虽然不缺这玩意，但你要是拿这玩意劫个机撞个楼啥的，那就……
这是陆川的电影《寻枪》
志贡的？
之前从别处看时，就觉得儿子提醒的这个镜头很诡异
应该是他儿子拿的殇
？？？
打中煤气罐，烧了居民楼，那就是几千条人命
实际上你没猜到
他老婆 偷的 紗了李小萌
经常玩枪莎人的都知道，职业杀手都不能枪枪命中。  著名案例的打七枪都没中，只擦了个边
坐神舟都到月球了
走火了毙了自己就是造福社会
这是韩三平啊
怎么打两个，职业杀手
马山，欢迎您来到两个不同地点的马山游玩
孕妇怀的都是龙凤胎，18条人命
现实不是游戏 不要觉得游戏里是个枪王啥的就觉得枪很简单
破案了，老婆
《宿醉》
还不如真到美国了
警察7发左右弹匣的配枪有一个暗处保险，一般人不可能会开
全对！
丸辣
.3
越说越玄
嗯？
自己跟自己说话当然不结巴
净唠费磕
何晨光的含金量还在上升
以前管理很松散的
有和我一样是写完作业看的吗
这个距离还能挡枪
人格分裂
高仿道具枪也是可以打死人的
是did
五星杀手
怎么墙变了？
人格分裂不会出现分裂出第二人格的情况
贵阳话好家伙
《找》
小头控制大头
警察不能喝酒，就算是休假，也要报备，
这么抽象
很连贯合理啊我不觉得是过度解读
呸呸呸呸呸死死死死死死死死活活活活
呸呸呸死死死死死死活活活活
你咋不说一枪十个
坐飞机都到美国了！
我特么还以为是逃
注意，这个人出现时候，其他人都不会在场
黄四郎脸上有四吗
米兰：马小军？
\
不是，这都不怀疑吗？
这下真总座高见了
二级警督都官不小了呀。
羊肉粉～
跟我爸同名
抽象
50公里，不会是疯了吧？
666
请看电影寻枪
美国全是枪 没事哈
丸辣
马山妻子吧我觉得
锁长:补薅！
吗喽
《枪》
如果这条枪杀了人，枪主是连带责任的。
真大气
巴雷特大炮
省流:出火星了
石凉叔真是四川人
哈哈哈，这口音笑死了
坐火箭都到月球了
川棒所长？
刘晓宁
到美国反而安全了哈哈哈
这里也有崔健粉
听君一席话如听一席话
周小刚卖假酒的
这不是姜文的电影。。
編劇牛
怎么公务员不说普通话
注意这里有个白天穿雨衣的人
你真是大聪明
如果一枪100个就是300条人命
不是12个人命！
这是什么口音
这不是妹夫吗？
所长；嗯，开个玩笑别当真………不对劲！！
←哪个老百姓敢把警枪放家里收藏？不会就是你把
你咋不说坐火箭
好兄弟！
绷
美国那个不算是
6
想起了星爷的《逃学威龙》一
安？
这啥剧啊
自己杀自己，是我杀了我自己？
肉枪
妻子杀的？？？
这啥枪啊
卧槽，太特么大方了
有病
所长和你一个级别
两个人是一定站在一条线上的
到美国就没事了
这个人有点刻意啊，身为警察的马三怎么不会怀疑？
第五人格
怎么做到一枪两个的
娜个枪？
还喝醉了
谁这么牛逼啊？
可能是近距离射击吧，距离够近都不用瞄准，而且手枪便于隐蔽
就是
@stn工作室
喝酒？那你活该
喝酒
四川的安是很可怕的
韩三平好像是峨眉人吧？
六
她纠结了
是什么枪手这么牛逼
问一会儿，普通的小检查有手枪吗？
战友一般不会
如果恐慌引发踩塌事故，那就是死伤无数
灵山脚下不能出事
这电影被低估了
虽然但是，什么人命中那么高，刺杀阿美总统的也没全中啊
哪年5000？
前面说酒没饮料好喝的喝过酒吗？啤酒都比一般的饮料好喝，饮料不就是糖水？
能一枪十个不
现在配枪都绑绳了
原来如此
要的个锤子
让子弹飞一会儿
666
哈哈哈哈哈哈哈，老熟人了
废话
国内手枪丢很严重的
三个并排9条人命啊
所长也要背责的
伍于娟？
偷枪去美国？
手枪子弹：我咋不知道我穿透力这么强呢
在中国丢枪是大事
坐火箭到月球基地了
把偷来的包又扔回去了可还行
这部电影 很早了
带枪喝醉...要命
如果是三个怀双胞胎的孕妇就是九条人命(
我怀疑他不会射
保险说的上一枪再射一枪再射一枪
行为最可疑的人确实主角最没在意的….
紧急避险是可以牺牲他人生命的，这个有案例
这个合理
我姨娘把它找回来
米兰
你看，他们还是很怕牛马的
吆西，这样这个剧情就对上了
谢小萌
带枪还敢喝酒？？？？
卧槽
经典剧情了属于是
禁闭岛这一块
到其他地方就没那么大危害是吧
左火箭都快到月球了
反正找不回枪也是似 不如被枪打私 还能当是因公殉职
这个电影设定在禁枪令颁布前
要是出了卢安娜的飓风就是9条人命
？
这。。
如果是现实，可能他的手都断了
就在包里面
还真有
估计是个局
啊？
这兄弟……
看到了吧，主角问他才会结巴，这里就是暗示这个人不存在，马山精神除
那周小刚说不是马山怎么解释
怪不得过命的交情，太熟悉了
一个小偷还能上那个东西吗？
这就是人格分裂
神金
不是说了有事吗
54打过
所长：哥我开玩笑呢，你也在开玩笑对吧活爹
肃然起敬
所长: ???
哦？大老婆打小三？
安？
这个人有嫌疑，肯定有事
"要三个孕妇都是三胞胎那就是九条人命,呃"
意外收获
其实坐飞机的话反而不用担心了，因为肯定能抓到
不知道
他老婆可能才是偷枪的，怀疑丈夫外遇，杀小三
他老婆以为他找小3，就拿枪杀的
贵州话
哎呀，我还以为不敢呢
有道理
啊？！？！？！
这兄弟好啊
职业杀手还要你枪
扯淡
这个烟斗演的太好了
太刻意了
太好了
寻枪 我小时候在电影频道看过。
就他老婆拿的，没得说了
丢失枪支不报罪是结果犯，要求造成严重后果
谢晓萌？？？
听说过没见过
刚开枪的时候吓我一跳
越战？
极乐迪斯科
如果是六个孕妇，每个孕妇都有双胞胎，24条人命啊
美国不需要，哈哈哈
坐火箭都到火星了
自绿哥
都是他自己干的
啊，你在逗我，六条？你是在侮辱神枪手，没有九条，都是在侮辱人
说的很对啊
继续升～
如果都是孕妇就是12条，如果都是双胞胎就是24条，如果有三胞胎就是30条
神头鬼脸
妻子打死的？？？？
废话
六个双胞胎孕妇就是十八条人命
哪来那么巧的职业枪手啊
如果遇到抗日神剧 那是多少条命
老婆
不见了？
这，枕边人有鬼
主角已经严重渎职了吧
二级警督？
参加婚礼带枪........
韩三平
美國更強啊 怕什麼
姜文拍的好啊
哈哈哈哈哈哈哈
他媳妇
+
豪哥
枪手在饭店打中煤气罐导致爆炸就是几十条人命
典型的过分推理
你这侮辱了我还侮辱我初恋啊
。你什么鬼啊
一枪打死两锅就是6条人命
哦，原来只是怕你主人受到伤害啊
？？不是哥们
啊?
?
美国不缺
玫瑰
是嘎子 过来偷酒了
..................-+9
牛比，不是喝酒不带枪吗
肯定是这样的想的，你在看看姜文的几部电影，更意识流
也可以说不是第二人格，在电影中是一种自我心理的表现手法
警察这灰色衬衫得是20年前了，那时候管的极松
好意识流啊。。。
6666建议警察佩戴麻醉枪
这老哥，格局这么大嘛
还有意外收获
弹幕这么执着杀人数干什么？枪丢了谁能保证不出人命？
左旋贝不是灭绝了吗？
假酒是补药？
十字架黑化等于未知。
难怪我会头疼
真有这种所谓人格分裂？我不信
然后似了
太完美力
圆盘运动
别玩碧蓝战枪了。
猴子神枪手，牛逼。
白泽，你那儿太热闹了
全宇宙都让草神写下来了
豪门退化成寒门……
看来我只适合当警长。
嗯，如果说是被个小孩捡走了，那还好，可能最多只是走火把小孩自己崩了，或者说崩了几只小动物，但是给一个有犯罪心的人手里，估计那就不是六只动物，或者他自己的命了，那估计就是三条人命了
乱开车
哈哈哈
还有空搁这续前缘呢
和极乐迪斯科有异曲同工之妙
假酒广？
如果是人格分裂，那就不是说谎，是这个人格确实不知道
好，我喜欢
好兄弟在心中
带枪喝酒，就算不出任何事，也是大过。丢了，那可完蛋了
一个刑警因为这种事人格分裂
如果孕妇都是双胞胎那就是 18 条人命
老婆？
用数字形容好像很少 打到你头上就知道了
寻枪，禁闭岛，调音师，少年派的奇幻漂流。寻枪最早
姜文的电影，只有你想不到的
没意思
他老婆偷的？
故弄玄虚
6
汤师爷送回去的（乱入
不至于
这是癫了开始幻想还是？
字幕多了一点
好长一根
阳光灿烂的日子
是弹
他老婆干的？
偷人了？
把枪拿回家就是犯罪
这不座山雕，韩三平吗
喂喂喂，这是韩三平？
看来还是不怕死，还能想这些
这里局长表情怪怪的，好像要笑场了
丢了不干净报警
牙克石有了
姜文出演的电影都没那么简单
绝了，哈哈哈
王小明
啊
逆天手枪一穿二
哈哈哈
啊
宁静
紧急避险不能与他人生命权抵触
算你吗的紧急避险，你推条龙去挡都不能推别人挡
6
这门跟墙格格不入啊
这种情况所长的警服应该会扒下来吧？
←你看到你老婆和人家乱搞的话，就不会怎么说了
牛逼牛逼
打司机就是一车人命
细说握枪
杀人一定得用枪吗？
姜文的电影真的太多隐喻和细节了
北京金贵 哈哈
婚礼带啥枪
有原则，也不是不善
枪为啥不放警察局
小哪吒~
这个穿雨衣的出现了
？？？？？？
要是怀了18胞胎的妇女那就是，114514条人命啊
？
？
王德发
意大利米兰！
丸辣
带着枪喝醉？心这么大？
啊？
啊？
阿尼玛，我的阿尼玛~
按？？？
？？？？？
6
逆天
姜文
(？)
枪能带回家？搞笑呢
那目击者说不是他 体型对不上又怎么解释呢
不，你是米兰
？
枕边人
66
逆天
带手枪到美国的话，是边检的责任吧？
职业杀手不可能用不熟悉的抢
完辣
心里咯噔一下
美国不缺这个
。。。。
满头大汗
我只是个路过的假面骑士
什么鬼。他不是要去找枪吗怎么还谈上恋爱了
你要不要看看你在说什么
。。。。这不挑衅吗
怎么感觉局长脸是笑的
范小勤
旺仔水饺！
生气？他能比你还急
"职业杀手：""你吹牛别带上我"""
禁闭岛
寻枪
果然
县长风范！
绿帽侠
数量不是关键，人命才是
叫结巴一定结巴？我班长黑的跟碳一样，外号老白
？？？
牺牲生命权益保护生命权益你避的集贸险
正处级就能是三级警监了吧
警察的老婆
这逻辑，不交就是干坏事，有那么坏吗
小剧透这人其实不结巴
啊？
带枪喝酒？
带枪喝酒也是嫌命长了
意思就是进北京不得了，可以去别的地方，
儿子:躲过一劫
2001年 2001年 2001年！
哈哈哈，打不穿的，顶多三条
这下看懂了
去美国!?
也有可能在婚宴上丢的啊
他老婆偷了
看着解说都感到窒息
对啊，不人手一个原子弹怎么体现幸福快乐呢
手枪能一枪双雕？你说要是ak这类的大口径或者狙击枪还有可能一枪双雕
？枪丢了还有心思想前女友？
笑死了
韩三平
HAHAHAAHAH
大数学家
档案的主持人石凉
上次听到这么有道理的话还是在上次
去美国就没事了*
如果遇到王牌杀手一枪三个，就是九条人命，九条人命啊！
开始抽象了
这警服千禧年左右才换的
精神分裂了
双机SS3
就是这个人
老婆是包贝尔演的
？
这个镜头可太恐怖了
所以是老婆偷的呗
一枪三个孕妇多胞胎，那就是48条人命啊
猜到了
肃然起敬
？
哈哈哈哈什么神仙杀手
如果遇到郭靖那就是6只雕命啊
枪一直都在身上，他自己幻想是假枪
这个不是手枪吧。。。308的子弹差不多能一枪两个
握草，这个好诡异，在派出所楼顶后背发凉
居然还有心情运动
又不是只有枪能杀人
废话！
意大利
还丫有心情运动
这压迫感太强了！
所长：卧槽！我只是随口一说哦
哟！玩得很开嘛
丢枪会给鲁到底
有这兄弟还要什么枪
丸辣
这得多职业啊
54式打的是7.62x25mm tt弹
这是周韵吗
哈哈哈哈
丸辣！
执行公务喝醉啊
发泄一下
这种人能当警察啊
韩三平
出现死人案就完了
喝醉了可还行
那个时候广西不是有个喝醉酒发酒疯开枪打死孕妇的吗
警察案情期间喝酒
你觉得牵强是因为你看不懂，别把自己看太高了。。。
紧张的不结巴了
还挺讲道理的嘞
刑警才配枪
只要有一个人不幸福就会有风险
6条就好笑了 手枪根本穿不了1个人
byd还挺幽默
啊？
这兄弟，能交啊
听君一席话，如听一席话
酒是假酒。
米兰
啊？
啊？
安？
你真看得起我，1枪2个
这个电影你得分清哪些是他想的和想给你看的
精神分裂患者会看见不存在的人
这贵阳话味太冲
JAIDE
还是他！
这算紧急避险
贵阳话？
6
只是怕到了北京其他地方无所谓
就是他！
神经
完美绘画就是应对的最好方案，
丸辣！
这枪这么NB
手枪有这么大的穿透力？
《指过去太保年代使用
必须空间换时间，快到极致。
对，红蓝狐狸是要罚。
幸福快乐个屁！
来了
↑说剧情是幻想的那个，去看看01年大卫林奇获奥斯卡奖的的意识流悬疑电影《穆赫兰道》
这枪好像是大黑星，打的是7.62，真能一枪俩
梅森和雷泽诺夫
所长：我tm
.
什么杨树林，这是比姜文牛逼多了的大佬来客串的
............................................
因为都是编的，小刚说的假话
《枪》
中国人民警察，配枪能带回家的吗
《假酒广》
弹幕真幽默
要是孕妇都是双胞胎就是18个人命
带枪喝酒，不冤
中间是县长
懵了
那个时候从贵州到北京坐火车要几天几夜
炸的好啊
完了，平行世界了
丸辣
小杨哥
经典的精神分裂，不用怀疑了，导演就是这么设计的
这个屁放的是真的响
义父啊
飘零半生，只恨未逢。。。。
带枪喝酒这是非常大的违纪
吓得烟斗都都掉了
有道理
梨大梨啊！
哈哈哈哈哈哈哈哈哈
只有一个字，绝！
导演拍的时候真的是这样想的吗，我感觉太牵强了
如果一枪10个就是30条人命
好兄弟
？
这么算超级职业杀手一枪四个就是12条明
王小明？那我帝骑哥不得不变身了
哈哈哈哈哈哈哈
挺准啊
这不是米兰吗
这人有点精神问题
胡万！
美国：别乱说，这在美国不叫事儿
怎么有点绷不住了
有木有可能一颗子弹80亿人命
？
对越自卫反击战
安欣表示无感
我还以为是　痛い
？
先看家庭情况才对，不缺钱不报仇要枪干啥，还是警枪
弹幕注意下年代
貌似，这么讲这剧情写的还挺有意思的
人格分裂?两个人格?
实际上枪没丢吧
啊？结局这样……
真是他女友
啊？真是他啊……
第五人格启动
牛逼
喷了一片火，给衣服烧了一片而已没什么杀伤力
?
啊？他谁啊？怎么会有枪？假的?
不可能?谁都可疑!
兄弟，你真棒
没保险
丢枪是很严重的，无论哪个国家，如果丢的这把枪顶你脑袋上你就不会这么轻松了
《———————————————把核弹打爆了，一个城市的人的命———————————————》
一枪怎么两个啊
我还以为他说日语了
韩三爷嘛那不是
马山老婆杀的
李小萌 的屍檢報告 已更新
静静
还是对越老兵啊
找东西可太煎熬了
警用手枪弹一般停止作用很大吧
谁家手枪一下两个
什么高级纸火枪 ？
哈哈哈哈哈上子弹上子弹
卫子夫
好了，已经真的是谁干的了
被杀的3个，杀人的三个枪毙
不是哥们
?
坐火箭都到赛博坦了
因为子弹打完了，安全了
这朋友我交定了
明白了，到首都才有危害，其他城市死了白死
坐曲率飞船都到半人马座了
他有人格分裂症
那个年代没有dna比对
喜欢喝
还在运动还在运动?不着急啊
看封面差点以为要玉哭了
呦，米兰？
啊？
近距离的人物面部特写是是表现精神问题的常用方法
老蒋：你真给丢了？
前面说威力不大的 这个片子里丢的是54式 能打穿三个人
枪：6
我以为要说给百姓带来多大的危害
他喝了酒，醉了
那时候还不是
美国也不缺这一把配枪啊
逃学威龙，善良之枪
但是这边是博主说错的地方，精神分裂了不会意识到自己有问题，更不会设局，只是他自己按照自己的想法完成了最后的结局
不会是个梦吧
怀疑自己居然不生气
一枪三个就是33条
丢了，可能会出现呼兰大侠
有这个感觉
要是六个双胞胎孕妇那就是18条人命
废了
哈哈
其实就是马山杀的
嘎子？
我是没想到居然猜对了
找不到就该早点说一起找
这段配原声 多少有点走心了
你觉得威力不大，一枪2滴血，但是所有人都只有一滴血
韩三平韩爷
崔博Q！
刺王杀驾
一起一起一起
带枪喝醉，这
喝个屁的酒啊，酒又没饮料好喝
6个双胞胎，就是18条人命啊
星露谷酒厂
手枪不能一穿二，一穿三，一穿四都做得到手枪不是你家那个破烧火棍哪，往脑袋上面冲的那种土质谁一发枪都可以一传二还不能穿
幻觉的
要是6个4胞胎孕妇就是30条人命啊
要是6个三胞胎孕妇就是24条人命啊
要是6个双胞胎孕妇就是18条人命啊
猜到了
就是人格分裂咯。双重人格
美国不需要这把破枪
这里打错字了，打成酒广了
这兄弟还行
这兄弟还想
乱死了
666
？
寻枪这部电影的背景年代应该是199几年的时候，更早也不过可能是2000年时
我悟了大师
啊？
这种情况下警察就不用干了，甚至上不上军事法庭，都是个事
他老婆偷的？
要是是绝世高手，应该是1万条人命。
哟，对，对对
这领导也是牛
马三丢了三颗子弹
6个十胞胎那可就是66条人命！
就是他偷的
6
四舍五入就是十条的
枪就应该进当的脑袋里面
中正
这制服99年后的，故事不是90年代
哈哈哈哈哈哈哈
过度解读了
如果是6个双胞胎孕妇那就是18条人命
得进去踩缝纫机
想起来白宝山
县长呢，县长怎么样了
卧槽
啊对，你看个老电影说套路太旧了
0【
原来是这样啊
？
有钱也不一定搞得到枪啊
中国警察配枪威力小，有挨了两枪还跑得更快的
到美国就安全了（
嗯？
川黔铁路大关冲站
到美国不怕
nt
《一枪两个》
啊？
宁静！？
二十年的功力，一枪都顶不住
这门和墙好割裂
啊？
确实感觉是这样
好兄弟啊
卖粉的
姜文是不是故意把这个门做的这么违和的
啊
丸辣
没出事开除 出了事坐牢
你这兄弟，我交定了
要是六个孕妇都是三胞胎。。。我都不敢想象了
曹丞相点了个赞
这里也有细节啊，妹妹的老公回忆里是没胡子的，但是见面确有胡子，说明不是昨晚而是有一段时间了
看看年代 懂哥们
小刚不是说凶手比他矮吗？怎么解释
枪斗术是吧
如果是六个孕妇，就是十二条人命，十二条人命啊（
盲猜他媳妇吧，作案结束回来洗脸
不能这样问询 这是诱供，目击者会被心理暗示
.
《一枪两个》，你丢的巴雷特毁灭啊
精神分裂?
笑死了，好像是这个警察有精神疾病，这一切都是他幻想出来的
原来是抽烟啊，没事没事
+
一个镇少说十几二十万常驻人口吧，一个镇的不认识也很正常呀
吧
要钱的，别点
不是警察这些的公职类人员，工作日期间禁止饮酒么？
只知道放大问题
？没去北京也有危害啊。人命不分贵贱
人格分裂吧
子弹也不能少
那他是谁打死的了
不对路
人格分裂
一枪要是20个！就是60条人命啊
根本不需要假酒那条线就够了
。
！！
妻子偷走了枪
那时候老百姓会用，那时候征兵更猛
不会用就到b站找教程，看几个视频就会用了！
这播的啥
嘎子不偷狗了，改偷枪了
你有几个儿子啊
6个孕妇就是12条人命
哥们大气呀！
不会去美国，美国不缺这玩意
回头炮
这么豪爽
找枪！
哈哈哈哈
最怕空气突然安静
我嘞个擦哦
带枪喝酒？那真活该了
凶手不会是妻子吧！
哈哈，这兄弟值得一交
我终于知道了，喝假酒喝多了，出现问题了
是不是双从人格啊
那个年代，我记得我妈他们打麻将就有人带枪，我想去摸被凶了
我终于知道了，喝假酒喝多了，出现问题了
真豪门
你的脸上怎么没有麻子？
去美国没事
《枪不离身》
一枪两个
？？？？？细说周小刚的枪
美国：何以见得，我们遍地都是
紧张就不结巴了，所以说这个人有问题
嗯？
劳资的西服
那周小刚说凶手更矮更瘦怎么解释呢
白宫门
辨认不符合程序，至少7个人
他这个光头长得好像那个杰森
养龙的？
作为一个警察，这些常识肯定得知道啊。
我就说切枪有声音
酒席基本上都是熟人啊
这警用手枪根本做不到一枪两个吧
灵魂
好兄弟
这段bgm好好听
坐神舟到太空舱了
给妻子打掩护？
？？？
wc
讲解电影不开黄腔是不会讲了
丸辣
一般
还行
兄弟大气
+++
数学家
当时看到这里笑抽了
byd小头又控制大头了666
他两同居身上有指纹也证明不了什么
，。
54还分军用警用?
。。。
好兄弟
，，，
666
卧槽
职业杀手不缺子弹
以前电影频道再寻枪拍摄过程中采访过，但一直不知道有这些内容，就记得姜文在巷子口往里张望找东西
他心心恋恋的初恋，富豪没当人看
很多军盲啊，威力大指的是止动力强，止动力强就不可能穿透性强
因为虚心的紧张
他老婆？
尸检报告啊…
可能是他老婆是周的情人
黄河之水天上来，对不起走错了
吴京
警察配枪严禁喝酒，但是很多小地方管理不是很严格
那遇到一个更厉害的，一枪10个呢
坐彗星都跑到太阳了
可以一穿二，你把两个头靠一起
这局长是市局的？
细说周小刚的枪
笑死我了
都得付连带责任
这就不地道了
666
强迫性思维，事儿还没发生呢，找枪是首要任务
带枪喝醉，心真大啊
？？？
有了枪多少条人命都可能，因为你有枪对面就不敢动。
如果一枪十个就是三十条人命，别问我为什么一枪十个，毕竟能一枪两个弹无虚发
姜文：你保险没开，哥们
韩大佬
一枪两个你还带穿甲弹是吧，玩游戏呢
大气大气大气
超级杀手能干掉一万个，就是3万条人命
这...
？
意大利我扛几楼？
。
看过
？
内鬼在身边
6
还行
6
6
还行
6
还行
。
还行
我说这就不是我
做宇宙飞船都到太空了
6
好
6
老婆偷的
6
结巴挺可怜的，自己迫不得已的报仇
马三
粉色吧
6
干掉多几个马彩云王佳佳
6
小头控制大头是这样的
哈哈哈
“豪宅”
真是初恋女友
好家伙
哇哦
别说6条了，一条就够了
要是怀孕就是12条人命，要是双胞胎就18条人命
我想静静
枪没丢 他给李杀了
哦吼
寻枪
要是打中煤气管，一枪就几百人命，三枪得过千
逆天
厉害啊，我怎么没想到他儿子在的位置
合理姜文的电影确实有东西。
张麻子
二十分钟？坐飞机都到美国了！
这种都是按最坏情况打算吧
啊？等等
